ime,chars,unicode
"1000","一","4E00"
"1020","丁","4E01"
"4071","七","4E03"
"1022","万","4E07"
"5000","丈","4E08"
"1010","三","4E09"
"2110","上","4E0A"
"1023","下","4E0B"
"1022","丌","4E0C"
"1090","不","4E0D"
"2112","与","4E0E"
"1072","丏","4E0F"
"1020","丐","4E10"
"1710","丑","4E11"
"7710","且","4E14"
"1010","丕","4E15"
"4471","世","4E16"
"7210","丘","4E18"
"1022","丙","4E19"
"1710","丞","4E1E"
"1073","丟","4E1F"
"8010","並","4E26"
"8020","丫","4E2B"
"5000","中","4E2D"
"1751","丮","4E2E"
"5000","丰","4E30"
"2277","丱","4E31"
"5500","丳","4E33"
"5001","丸","4E38"
"7744","丹","4E39"
"10","主","4E3B"
"5500","丼","4E3C"
"4000","乂","4E42"
"1722","乃","4E43"
"2780","久","4E45"
"2071","乇","4E47"
"2073","么","4E48"
"3030","之","4E4B"
"8021","乍","4E4D"
"2040","乎","4E4E"
"2030","乏","4E4F"
"7220","乒","4E52"
"7213","乓","4E53"
"2011","乖","4E56"
"2090","乘","4E58"
"1771","乙","4E59"
"4771","乜","4E5C"
"4001","九","4E5D"
"8071","乞","4E5E"
"4471","也","4E5F"
"2261","乩","4E69"
"2241","乳","4E73"
"4841","乾","4E7E"
"2291","乿","4E7F"
"9221","亃","4E83"
"4211","亄","4E84"
"1720","了","4E86"
"1720","予","4E88"
"1010","二","4E8C"
"1020","亍","4E8D"
"1040","于","4E8E"
"1073","云","4E91"
"1010","互","4E92"
"1022","亓","4E93"
"1010","五","4E94"
"5500","井","4E95"
"2110","些","4E9B"
"71","亡","4EA1"
"21","亢","4EA2"
"40","交","4EA4"
"80","亥","4EA5"
"33","亦","4EA6"
"20","亨","4EA8"
"40","享","4EAB"
"90","京","4EAC"
"20","亭","4EAD"
"71","亳","4EB3"
"10","亶","4EB6"
"8000","人","4EBA"
"2420","什","4EC0"
"2121","仁","4EC1"
"2422","仂","4EC2"
"2122","仃","4EC3"
"7128","仄","4EC4"
"2320","仆","4EC6"
"2421","仇","4EC7"
"2820","仈","4EC8"
