unicode,chars,cjkv
"4E00","一","U+4E00   越> nhất (nôm: nhất nhứt)   中> yi1 yi2 yi4    韓> il   日> itsu ichi "
"4E01","丁","U+4E01   越> đinh (nôm: đinh đĩnh)   中> ding zheng   韓> chŏng   日> tei chou tou "
"4E02","丂","U+4E02   越> xảo (nôm: xảo)  中> qiao3 qiao4   韓> kyo   日> kou "
"4E03","七","U+4E03   越> thất (nôm: thất)   中> qi1 qi2   韓> chil   日> shichi shitsu "
"4E04","丄","U+4E04   越> thượng   中> shang4 shang3   韓> sang   日> jou shou 
"
"4E05","丅","U+4E05   越> hạ   中> xia4   韓> ha   日> ka ge 
"
"4E06","丆","U+4E06   "
"4E07","万","U+4E07   越> vạn (nôm: muôn vàn vạn)   中> wan4   韓> man mwuk   日> man ban "
"4E08","丈","U+4E08   越> trượng (nôm: trượng)   中> zhang4   韓> cang   日> jou chou "
"4E09","三","U+4E09   越> tam tám (nôm: tam)   中> san sa san4 sen   韓> sam   日> san "
"4E0A","上","U+4E0A   越> thượng (nôm: thượng)   中> shang4 shang3   韓> sang   日> jou shou "
"4E0B","下","U+4E0B   越> hạ (nôm: hạ)   中> xia4   韓> ha   日> ka ge "
"4E0C","丌","U+4E0C   越> cơ kì   中> ji   韓> ki   日> ki gi "
"4E0D","不","U+4E0D   越> bất (nôm: bất)   中> bu4 bu2 bi3 fou2 fou3 fu1 fu3 pi3   韓> pwu pwul   日> fu bu futsu hi "
"4E0E","与","U+4E0E   越> dư dữ dự (nôm: dữ dự đử)   中> yu3 yu2 yu4 ai3   韓> ye   日> yo "
"4E0F","丏","U+4E0F   越> miễn (nôm: miện)   中> mian3   韓> myen   日> ben men "
"4E10","丐","U+4E10   越> cái (nôm: cái gái)   中> gai4 ge2   韓> kal kay   日> kai katsu "
"4E11","丑","U+4E11   越> sửu xú (nôm: sấu sửu xấu)   中> chou3   韓> chwuk chwu   日> chuu chu "
"4E12","丒","U+4E12   越> sửu xú   中> chou3   韓> chwuk chwu   日> chuu chu "
"4E13","专","U+4E13   越> chuyên   中> zhuan1 tuan1   韓> cen   日> sen 
"
"4E14","且","U+4E14   越> thả thư (nôm: thả vã vả)   中> qie3 cu3 ju1   韓> cha ce   日> sha sho "
"4E15","丕","U+4E15   越> phi (nôm: bậy chăng chẳng phi phỉ vầy vậy)   中> pi   韓> pi   日> hi "
"4E16","世","U+4E16   越> thế (nôm: thá thé thế thể)   中> shi4   韓> sey   日> se sei "
"4E17","丗","U+4E17   越> thế    中> shi4   韓> sey   日> se sei 
"
