unicode,chars,vietnamese,meanings
"4E00","一","nhất","(td Nôm chưa có nội dung)"
"4E00","一","nhứt","(td Nôm chưa có nội dung)"
"4E01","丁","đinh","(td Nôm chưa có nội dung)"
"4E01","丁","đĩnh","(td Nôm chưa có nội dung)"
"4E03","七","thất","(td Nôm chưa có nội dung)"
"4E07","万","muôn","(td Nôm chưa có nội dung)"
"4E07","万","vàn","(td Nôm chưa có nội dung)"
"4E07","万","vạn","(td Nôm chưa có nội dung)"
"4E08","丈","trượng","(td Nôm chưa có nội dung)"
"4E09","三","tam","(td Nôm chưa có nội dung)"
"4E0A","上","thượng","(td Nôm chưa có nội dung)"
"4E0B","下","hạ","(td Nôm chưa có nội dung)"
"4E0D","不","bất","(td Nôm chưa có nội dung)"
"4E0E","与","dữ","(td Nôm chưa có nội dung)"
"4E0E","与","dự","(td Nôm chưa có nội dung)"
"4E0E","与","đử","(td Nôm chưa có nội dung)"
"4E0F","丏","miện","(td Nôm chưa có nội dung)"
"4E10","丐","cái","(td Nôm chưa có nội dung)"
"4E10","丐","gái","(td Nôm chưa có nội dung)"
"4E11","丑","sấu","(td Nôm chưa có nội dung)"
"4E11","丑","sửu","(td Nôm chưa có nội dung)"
"4E11","丑","xấu","(td Nôm chưa có nội dung)"
"4E12","丒","giấu","(td Nôm chưa có nội dung)"
"4E14","且","thả","(td Nôm chưa có nội dung)"
"4E14","且","vã","(td Nôm chưa có nội dung)"
"4E14","且","vả","(td Nôm chưa có nội dung)"
"4E15","丕","bậy","(td Nôm chưa có nội dung)"
"4E15","丕","chăng","(td Nôm chưa có nội dung)"
"4E15","丕","chẳng","(td Nôm chưa có nội dung)"
"4E15","丕","phi","(td Nôm chưa có nội dung)"
"4E15","丕","phỉ","(td Nôm chưa có nội dung)"
"4E15","丕","vầy","(td Nôm chưa có nội dung)"
"4E15","丕","vậy","(td Nôm chưa có nội dung)"
"4E16","世","thá","(td Nôm chưa có nội dung)"
"4E16","世","thé","(td Nôm chưa có nội dung)"
"4E16","世","thế","(td Nôm chưa có nội dung)"
"4E16","世","thể","(td Nôm chưa có nội dung)"
"4E18","丘","khâu","(td Nôm chưa có nội dung)"
"4E18","丘","kheo","(td Nôm chưa có nội dung)"
"4E18","丘","khưu","(td Nôm chưa có nội dung)"
"4E19","丙","biếng","(td Nôm chưa có nội dung)"
"4E19","丙","bính","(td Nôm chưa có nội dung)"
"4E1A","业","nghiệp","(td Nôm chưa có nội dung)"
"4E1B","丛","tòng","(td Nôm chưa có nội dung)"
"4E1B","丛","tùng","(td Nôm chưa có nội dung)"
"4E1C","东","đông","(td Nôm chưa có nội dung)"
"4E1D","丝","ti","(td Nôm chưa có nội dung)"
"4E1E","丞","thừa","(td Nôm chưa có nội dung)"
"4E22","丢","đâu","(td Nôm chưa có nội dung)"
"4E22","丢","điêu","(td Nôm chưa có nội dung)"
"4E22","丢","đốc","(td Nôm chưa có nội dung)"
"4E24","两","lạng","(td Nôm chưa có nội dung)"
"5117","儗","nghì","(td Nôm chưa có nội dung)"
"5117","儗","nghĩ","(td Nôm chưa có nội dung)"
"5117","儗","nghỉ","(td Nôm chưa có nội dung)"
"5118","儘","tận","(td Nôm chưa có nội dung)"
"511F","償","thường","(td Nôm chưa có nội dung)"
"5121","儡","lỗi","(td Nôm chưa có nội dung)"
"512A","優","ưu","(td Nôm chưa có nội dung)"
"5132","儲","trừ","(td Nôm chưa có nội dung)"
"5133","儳","sàm","(td Nôm chưa có nội dung)"
"5137","儷","lệ","(td Nôm chưa có nội dung)"
"513A","儺","na","(td Nôm chưa có nội dung)"
"513B","儻","thảng","(td Nôm chưa có nội dung)"
"513C","儼","nghiễm","(td Nôm chưa có nội dung)"
"513E","儾","nán","(td Nôm chưa có nội dung)"
"513F","儿","nhi","(td Nôm chưa có nội dung)"
"5140","兀","ngát","(td Nôm chưa có nội dung)"
"5140","兀","ngột","(td Nôm chưa có nội dung)"
"5140","兀","ngút","(td Nôm chưa có nội dung)"
"5141","允","doãn","(td Nôm chưa có nội dung)"
"5143","元","nguyên","(td Nôm chưa có nội dung)"
"5144","兄","huynh","(td Nôm chưa có nội dung)"
"5145","充","sung","(td Nôm chưa có nội dung)"
"5146","兆","điềm","(td Nôm chưa có nội dung)"
"5146","兆","diệu","(td Nôm chưa có nội dung)"
"5146","兆","giệu","(td Nôm chưa có nội dung)"
"5146","兆","triệu","(td Nôm chưa có nội dung)"
"5147","兇","hung","(td Nôm chưa có nội dung)"
"5148","先","ten","(td Nôm chưa có nội dung)"
"5148","先","teng","(td Nôm chưa có nội dung)"
"5148","先","tiên","(td Nôm chưa có nội dung)"
"5149","光","cuông","(td Nôm chưa có nội dung)"
"5149","光","quang","(td Nôm chưa có nội dung)"
"5149","光","quàng","(td Nôm chưa có nội dung)"
"5149","光","quăng","(td Nôm chưa có nội dung)"
"514B","克","khắc","(td Nôm chưa có nội dung)"
"514D","免","mấy","(td Nôm chưa có nội dung)"
"514D","免","mém","(td Nôm chưa có nội dung)"
"514D","免","mễm","(td Nôm chưa có nội dung)"
"514D","免","miễn","(td Nôm chưa có nội dung)"
"5151","兑","đoái","(td Nôm chưa có nội dung)"
"5151","兑","đoài","(td Nôm chưa có nội dung)"
"5152","兒","nghê","(td Nôm chưa có nội dung)"
"5152","兒","nhẻ","(td Nôm chưa có nội dung)"
"5152","兒","nhi","(td Nôm chưa có nội dung)"
"5154","兔","thố","(td Nôm chưa có nội dung)"
"5154","兔","thỏ","(td Nôm chưa có nội dung)"
"5155","兕","tỉ","(td Nôm chưa có nội dung)"
"515A","党","đảng","(td Nôm chưa có nội dung)"
"515C","兜","đâu","(td Nôm chưa có nội dung)"
"5162","兢","căng","(td Nôm chưa có nội dung)"
"5162","兢","cạnh","(td Nôm chưa có nội dung)"
"5162","兢","giằng","(td Nôm chưa có nội dung)"
"5165","入","nhạp","(td Nôm chưa có nội dung)"
"5165","入","nhập","(td Nôm chưa có nội dung)"
"5165","入","nhép","(td Nôm chưa có nội dung)"
"5165","入","nhẹp","(td Nôm chưa có nội dung)"
"5168","全","toàn","(td Nôm chưa có nội dung)"
"5168","全","tuyền","(td Nôm chưa có nội dung)"
"5169","兩","lạng","(td Nôm chưa có nội dung)"
"5169","兩","lưỡng","(td Nôm chưa có nội dung)"
"516B","八","bát","(td Nôm chưa có nội dung)"
"516B","八","bắt","(td Nôm chưa có nội dung)"
"516C","公","công","(td Nôm chưa có nội dung)"
"516D","六","lộc","(td Nôm chưa có nội dung)"
"516D","六","lúc","(td Nôm chưa có nội dung)"
"516D","六","lục","(td Nôm chưa có nội dung)"
"516D","六","lụt","(td Nôm chưa có nội dung)"
"516E","兮","hề","(td Nôm chưa có nội dung)"
"5170","兰","lan","(td Nôm chưa có nội dung)"
"5171","共","cọng","(td Nôm chưa có nội dung)"
"5171","共","cộng","(td Nôm chưa có nội dung)"
"5171","共","cùng","(td Nôm chưa có nội dung)"
"5171","共","cũng","(td Nôm chưa có nội dung)"
"5171","共","gọng","(td Nôm chưa có nội dung)"
"5173","关","quan","(td Nôm chưa có nội dung)"
"5175","兵","banh","(td Nôm chưa có nội dung)"
"5175","兵","bênh","(td Nôm chưa có nội dung)"
"5175","兵","binh","(td Nôm chưa có nội dung)"
"5176","其","cà","(td Nôm chưa có nội dung)"
"5176","其","kì","(td Nôm chưa có nội dung)"
"5177","具","cỗ","(td Nôm chưa có nội dung)"
"5177","具","cụ","(td Nôm chưa có nội dung)"
"5177","具","gỗ","(td Nôm chưa có nội dung)"
"5178","典","đến","(td Nôm chưa có nội dung)"
"5178","典","điển","(td Nôm chưa có nội dung)"
"5178","典","điếng","(td Nôm chưa có nội dung)"
"517C","兼","cồm","(td Nôm chưa có nội dung)"
"517C","兼","kem","(td Nôm chưa có nội dung)"
"517C","兼","kèm","(td Nôm chưa có nội dung)"
"517C","兼","kiêm","(td Nôm chưa có nội dung)"
"517D","兽","thú","(td Nôm chưa có nội dung)"
"5182","冂","quynh","(td Nôm chưa có nội dung)"
"5184","冄","nhiễm","(td Nôm chưa có nội dung)"
"5185","内","nòi","(td Nôm chưa có nội dung)"
"5185","内","nồi","(td Nôm chưa có nội dung)"
"5185","内","nội","(td Nôm chưa có nội dung)"
"5185","内","nụi","(td Nôm chưa có nội dung)"
"5187","冇","mậu","(td Nôm chưa có nội dung)"
"5188","冈","cương","(td Nôm chưa có nội dung)"
"5189","冉","nhẹm","(td Nôm chưa có nội dung)"
"5189","冉","nhiễm","(td Nôm chưa có nội dung)"
"5189","冉","nhiệm","(td Nôm chưa có nội dung)"
"518C","册","sách","(td Nôm chưa có nội dung)"
"518D","再","tái","(td Nôm chưa có nội dung)"
"518D","再","tải","(td Nôm chưa có nội dung)"
"518D","再","táy","(td Nôm chưa có nội dung)"
"5192","冒","mào","(td Nôm chưa có nội dung)"
"5192","冒","mạo","(td Nôm chưa có nội dung)"
"5192","冒","mẹo","(td Nôm chưa có nội dung)"
"5194","冔","hu","(td Nôm chưa có nội dung)"
"5195","冕","miện","(td Nôm chưa có nội dung)"
"5195","冕","mịn","(td Nôm chưa có nội dung)"
"5196","冖","mịch","(td Nôm chưa có nội dung)"
"5197","冗","nhõng","(td Nôm chưa có nội dung)"
"5197","冗","nhũng","(td Nôm chưa có nội dung)"
"5197","冗","nũng","(td Nôm chưa có nội dung)"
"5198","冘","đem","(td Nôm chưa có nội dung)"
"5199","写","tả","(td Nôm chưa có nội dung)"
"519B","军","quân","(td Nôm chưa có nội dung)"
"519C","农","nông","(td Nôm chưa có nội dung)"
"51A0","冠","quan","(td Nôm chưa có nội dung)"
"51A0","冠","quán","(td Nôm chưa có nội dung)"
"51A1","冡","trũng","(td Nôm chưa có nội dung)"
"51A2","冢","trũng","(td Nôm chưa có nội dung)"
"51A2","冢","trủng","(td Nôm chưa có nội dung)"
"51A4","冤","oan","(td Nôm chưa có nội dung)"
"51A5","冥","mênh","(td Nôm chưa có nội dung)"
"51A5","冥","minh","(td Nôm chưa có nội dung)"
"51A5","冥","mưng","(td Nôm chưa có nội dung)"
"51AB","冫","băng","(td Nôm chưa có nội dung)"
"51AC","冬","đong","(td Nôm chưa có nội dung)"
"51AC","冬","đông","(td Nôm chưa có nội dung)"
"51AF","冯","bằng","(td Nôm chưa có nội dung)"
"51B0","冰","bâng","(td Nôm chưa có nội dung)"
"51B0","冰","băng","(td Nôm chưa có nội dung)"
"51B0","冰","bưng","(td Nôm chưa có nội dung)"
"51B0","冰","phăng","(td Nôm chưa có nội dung)"
"51B0","冰","văng","(td Nôm chưa có nội dung)"
"51B1","冱","hộ","(td Nôm chưa có nội dung)"
"51B2","冲","trong","(td Nôm chưa có nội dung)"
"51B2","冲","xông","(td Nôm chưa có nội dung)"
"51B2","冲","xống","(td Nôm chưa có nội dung)"
"51B2","冲","xung","(td Nôm chưa có nội dung)"
"51B3","决","quết","(td Nôm chưa có nội dung)"
"51B3","决","quệt","(td Nôm chưa có nội dung)"
"51B3","决","quyết","(td Nôm chưa có nội dung)"
"51B5","况","huống","(td Nôm chưa có nội dung)"
"51B6","冶","dã","(td Nôm chưa có nội dung)"
"51B7","冷","lành","(td Nôm chưa có nội dung)"
"51B7","冷","lãnh","(td Nôm chưa có nội dung)"
"51B7","冷","lảnh","(td Nôm chưa có nội dung)"
"51B7","冷","lạnh","(td Nôm chưa có nội dung)"
"51B7","冷","liểng","(td Nôm chưa có nội dung)"
"51B7","冷","rãnh","(td Nôm chưa có nội dung)"
"51B7","冷","rảnh","(td Nôm chưa có nội dung)"
"51BB","冻","đông","(td Nôm chưa có nội dung)"
"51BB","冻","đống","(td Nôm chưa có nội dung)"
"51BD","冽","liệt","(td Nôm chưa có nội dung)"
"51BD","冽","rét","(td Nôm chưa có nội dung)"
"51C0","净","tĩnh","(td Nôm chưa có nội dung)"
"51C0","净","tịnh","(td Nôm chưa có nội dung)"
"51C4","凄","thê","(td Nôm chưa có nội dung)"
"51C5","凅","đâu","(td Nôm chưa có nội dung)"
"51C6","准","chốn","(td Nôm chưa có nội dung)"
"51C6","准","chuẩn","(td Nôm chưa có nội dung)"
"51C6","准","chủn","(td Nôm chưa có nội dung)"
"51C6","准","trốn","(td Nôm chưa có nội dung)"
"51C7","凇","tùng","(td Nôm chưa có nội dung)"
"51C8","凈","tĩnh","(td Nôm chưa có nội dung)"
"51C8","凈","tịnh","(td Nôm chưa có nội dung)"
"51C9","凉","lương","(td Nôm chưa có nội dung)"
"51CA","凊","sảnh","(td Nôm chưa có nội dung)"
"51CB","凋","điêu","(td Nôm chưa có nội dung)"
"51CC","凌","dưng","(td Nôm chưa có nội dung)"
"51CC","凌","lăn","(td Nôm chưa có nội dung)"
"51CC","凌","lâng","(td Nôm chưa có nội dung)"
"51CC","凌","lăng","(td Nôm chưa có nội dung)"
"51CC","凌","lừng","(td Nôm chưa có nội dung)"
"51CD","凍","đóng","(td Nôm chưa có nội dung)"
"51CD","凍","đông","(td Nôm chưa có nội dung)"
"51CD","凍","đống","(td Nôm chưa có nội dung)"
"51CD","凍","rúng","(td Nôm chưa có nội dung)"
"51CF","减","giảm","(td Nôm chưa có nội dung)"
"51CF","减","xảm","(td Nôm chưa có nội dung)"
"51D1","凑","tấu","(td Nôm chưa có nội dung)"
"51D4","凔","sương","(td Nôm chưa có nội dung)"
"51D4","凔","thương","(td Nôm chưa có nội dung)"
"51D8","凘","ti","(td Nôm chưa có nội dung)"
"51DB","凛","lẫm","(td Nôm chưa có nội dung)"
"51DC","凜","lẫm","(td Nôm chưa có nội dung)"
"51DD","凝","ngưng","(td Nôm chưa có nội dung)"
"51DD","凝","ngừng","(td Nôm chưa có nội dung)"
"51DF","凟","độc","(td Nôm chưa có nội dung)"
"51E0","几","cơ","(td Nôm chưa có nội dung)"
"51E0","几","ghế","(td Nôm chưa có nội dung)"
"51E0","几","kẽ","(td Nôm chưa có nội dung)"
"51E0","几","kẻ","(td Nôm chưa có nội dung)"
"51E0","几","kẹ","(td Nôm chưa có nội dung)"
"51E0","几","kĩ","(td Nôm chưa có nội dung)"
"51E0","几","kỉ","(td Nôm chưa có nội dung)"
"51E1","凡","phàm","(td Nôm chưa có nội dung)"
"51E4","凤","phụng","(td Nôm chưa có nội dung)"
"51E4","凤","phượng","(td Nôm chưa có nội dung)"
"51ED","凭","bằng","(td Nôm chưa có nội dung)"
"51ED","凭","bẵng","(td Nôm chưa có nội dung)"
"51ED","凭","phẳng","(td Nôm chưa có nội dung)"
"51ED","凭","vững","(td Nôm chưa có nội dung)"
"51EF","凯","khải","(td Nôm chưa có nội dung)"
"51F0","凰","hoàng","(td Nôm chưa có nội dung)"
"51F1","凱","khải","(td Nôm chưa có nội dung)"
"51F1","凱","ngai","(td Nôm chưa có nội dung)"
"51F4","凴","bằng","(td Nôm chưa có nội dung)"
"51F6","凶","hung","(td Nôm chưa có nội dung)"
"51F9","凹","ao","(td Nôm chưa có nội dung)"
"51FA","出","xuất","(td Nôm chưa có nội dung)"
"51FD","函","hàm","(td Nôm chưa có nội dung)"
"51FD","函","hòm","(td Nôm chưa có nội dung)"
"51FF","凿","tạc","(td Nôm chưa có nội dung)"
"5200","刀","dao","(td Nôm chưa có nội dung)"
"5200","刀","đao","(td Nôm chưa có nội dung)"
"5200","刀","đeo","(td Nôm chưa có nội dung)"
"5201","刁","đeo","(td Nôm chưa có nội dung)"
"5201","刁","điêu","(td Nôm chưa có nội dung)"
"5202","刂","đao","(td Nôm chưa có nội dung)"
"5203","刃","nhẫn","(td Nôm chưa có nội dung)"
"5203","刃","nhận","(td Nôm chưa có nội dung)"
"5206","分","phân","(td Nôm chưa có nội dung)"
"5206","分","phận","(td Nôm chưa có nội dung)"
"5207","切","siết","(td Nôm chưa có nội dung)"
"5207","切","thiếc","(td Nôm chưa có nội dung)"
"5207","切","thiết","(td Nôm chưa có nội dung)"
"5207","切","thướt","(td Nôm chưa có nội dung)"
"5208","刈","ngãi","(td Nôm chưa có nội dung)"
"520A","刊","khan","(td Nôm chưa có nội dung)"
"520A","刊","san","(td Nôm chưa có nội dung)"
"520C","刌","thổn","(td Nôm chưa có nội dung)"
"520E","刎","vẫn","(td Nôm chưa có nội dung)"
"520E","刎","vẩn","(td Nôm chưa có nội dung)"
"5211","刑","hình","(td Nôm chưa có nội dung)"
"5212","划","hoa","(td Nôm chưa có nội dung)"
"5212","划","quả","(td Nôm chưa có nội dung)"
"5216","刖","nguyệt","(td Nôm chưa có nội dung)"
"5217","列","lệch","(td Nôm chưa có nội dung)"
"5217","列","liệt","(td Nôm chưa có nội dung)"
"5217","列","lít","(td Nôm chưa có nội dung)"
"5217","列","loẹt","(td Nôm chưa có nội dung)"
"5217","列","lướt","(td Nôm chưa có nội dung)"
"5217","列","rệt","(td Nôm chưa có nội dung)"
"5217","列","riệt","(td Nôm chưa có nội dung)"
"5217","列","rít","(td Nôm chưa có nội dung)"
"5217","列","rịt","(td Nôm chưa có nội dung)"
"5218","刘","lưu","(td Nôm chưa có nội dung)"
"5219","则","tắc","(td Nôm chưa có nội dung)"
"521B","创","sang","(td Nôm chưa có nội dung)"
"521B","创","sáng","(td Nôm chưa có nội dung)"
"521D","初","sơ","(td Nôm chưa có nội dung)"
"521D","初","thơ","(td Nôm chưa có nội dung)"
"521D","初","xơ","(td Nôm chưa có nội dung)"
"521D","初","xưa","(td Nôm chưa có nội dung)"
"521F","刟","sẹo","(td Nôm chưa có nội dung)"
"521F","刟","xẻo","(td Nôm chưa có nội dung)"
"5220","删","san","(td Nôm chưa có nội dung)"
"5224","判","phán","(td Nôm chưa có nội dung)"
"5225","別","bết","(td Nôm chưa có nội dung)"
"5225","別","bẹt","(td Nôm chưa có nội dung)"
"5225","別","bệt","(td Nôm chưa có nội dung)"
"5225","別","biết","(td Nôm chưa có nội dung)"
"5225","別","biệt","(td Nôm chưa có nội dung)"
"5225","別","bít","(td Nôm chưa có nội dung)"
"5225","別","bịt","(td Nôm chưa có nội dung)"
"5226","刦","cướp","(td Nôm chưa có nội dung)"
"5226","刦","kiếp","(td Nôm chưa có nội dung)"
"5227","刧","cướp","(td Nôm chưa có nội dung)"
"5227","刧","kiếp","(td Nôm chưa có nội dung)"
"5228","刨","bào","(td Nôm chưa có nội dung)"
"5229","利","lì","(td Nôm chưa có nội dung)"
"5229","利","lợi","(td Nôm chưa có nội dung)"
"522C","刬","sản","(td Nôm chưa có nội dung)"
"522D","刭","kĩnh","(td Nôm chưa có nội dung)"
"522E","刮","quát","(td Nôm chưa có nội dung)"
"5230","到","đáo","(td Nôm chưa có nội dung)"
"5230","到","tráo","(td Nôm chưa có nội dung)"
"5233","刳","khô","(td Nôm chưa có nội dung)"
"5234","刴","đoá","(td Nôm chưa có nội dung)"
"5236","制","chế","(td Nôm chưa có nội dung)"
"5236","制","choi","(td Nôm chưa có nội dung)"
"5236","制","chơi","(td Nôm chưa có nội dung)"
"5236","制","chới","(td Nôm chưa có nội dung)"
"5237","刷","loát","(td Nôm chưa có nội dung)"
"5237","刷","loạt","(td Nôm chưa có nội dung)"
"5237","刷","loét","(td Nôm chưa có nội dung)"
"5237","刷","nhoét","(td Nôm chưa có nội dung)"
"5237","刷","soát","(td Nôm chưa có nội dung)"
"5238","券","khoán","(td Nôm chưa có nội dung)"
"5239","刹","sát","(td Nôm chưa có nội dung)"
"523A","刺","chích","(td Nôm chưa có nội dung)"
"523A","刺","thích","(td Nôm chưa có nội dung)"
"523A","刺","thứ","(td Nôm chưa có nội dung)"
"523B","刻","gắt","(td Nôm chưa có nội dung)"
"523B","刻","khấc","(td Nôm chưa có nội dung)"
"523B","刻","khắc","(td Nôm chưa có nội dung)"
"523B","刻","khắt","(td Nôm chưa có nội dung)"
"523B","刻","lắc","(td Nôm chưa có nội dung)"
"523C","刼","kiếp","(td Nôm chưa có nội dung)"
"523D","刽","quái","(td Nôm chưa có nội dung)"
"5240","剀","khải","(td Nôm chưa có nội dung)"
"5241","剁","đoá","(td Nôm chưa có nội dung)"
"5242","剂","tễ","(td Nôm chưa có nội dung)"
"5243","剃","thế","(td Nôm chưa có nội dung)"
"5243","剃","thí","(td Nôm chưa có nội dung)"
"5244","剄","kĩnh","(td Nôm chưa có nội dung)"
"5245","剅","lâu","(td Nôm chưa có nội dung)"
"5247","則","tắc","(td Nôm chưa có nội dung)"
"524A","削","tước","(td Nôm chưa có nội dung)"
"524A","削","tướt","(td Nôm chưa có nội dung)"
"524A","削","tượt","(td Nôm chưa có nội dung)"
"524B","剋","khắc","(td Nôm chưa có nội dung)"
"524C","剌","lạp","(td Nôm chưa có nội dung)"
"524C","剌","lạt","(td Nôm chưa có nội dung)"
"524D","前","tèn","(td Nôm chưa có nội dung)"
"524D","前","tiền","(td Nôm chưa có nội dung)"
"524F","剏","sáng","(td Nôm chưa có nội dung)"
"5250","剐","qua","(td Nôm chưa có nội dung)"
"5251","剑","kiếm","(td Nôm chưa có nội dung)"
"5252","剒","tách","(td Nôm chưa có nội dung)"
"5254","剔","tích","(td Nôm chưa có nội dung)"
"5255","剕","phi","(td Nôm chưa có nội dung)"
"5256","剖","bõ","(td Nôm chưa có nội dung)"
"5256","剖","mổ","(td Nôm chưa có nội dung)"
