unicode,id,ime,chars
"FF0C",3,",","，"
"3002",4,".","。"
"300E",1,"""","『"
"300F",2,"""","』"
"25CB",7499,"linh","○"
"262F",12298,"thái cực","☯"
"2630",1842,"càn","☰"
"2631",2203,"đoài","☱"
"2632",7995,"ly","☲"
"2632",7264,"li","☲"
"2633",1368,"chấn","☳"
"2634",14072,"tốn","☴"
"2635",5875,"khảm","☵"
"2636",1858,"cấn","☶"
"2637",6252,"khôn","☷"
"3021",9332,"nhất","〡"
"3022",9371,"nhị","〢"
"3023",11746,"tam","〣"
"3024",14930,"tứ","〤"
"3025",9120,"ngũ","〥"
"3026",7794,"lục","〦"
"3027",12540,"thất","〧"
"3028",679,"bát","〨"
"3029",3295,"cửu","〩"
"4E00",9333,"nhất","一"
"4E01",4280,"đinh","丁"
"4E02",16010,"xảo","丂"
"4E03",12541,"thất","七"
"4E04",13372,"thượng","丄"
"4E05",4453,"hạ","丅"
"4E07",15675,"vạn","万"
"4E08",14776,"trượng","丈"
"4E09",11747,"tam","三"
"4E0A",13352,"thướng","上"
"4E0A",13373,"thượng","上"
"4E0B",4454,"hạ","下"
"4E0C",6818,"kỷ","丌"
"4E0C",2928,"cơ","丌"
"4E0C",6444,"kì","丌"
"4E0C",6501,"kỉ","丌"
"4E0D",702,"bất","不"
"4E0E",2531,"dự","与"
"4E0E",2526,"dữ","与"
"4E0E",2495,"dư","与"
"4E0F",8421,"miễn","丏"
"4E0F",8433,"miện","丏"
"4E10",1240,"cái","丐"
"4E11",11629,"sửu","丑"
"4E11",16086,"xú","丑"
"4E13",1764,"chuyên","专"
"4E14",12222,"thả","且"
"4E15",10164,"phi","丕"
"4E16",12576,"thế","世"
"4E18",5984,"khâu","丘"
"4E19",950,"bính","丙"
"4E1A",9001,"nghiệp","业"
"4E1B",15126,"tùng","丛"
"4E1C",2362,"đông","东"
"4E1D",13433,"ti","丝"
"4E1E",13180,"thừa","丞"
"4E1F",3761,"đâu","丟"
"4E21",7087,"lạng","両"
"4E22",3762,"đâu","丢"
"4E23",3759,"dậu","丣"
"4E24",7088,"lạng","两"
"4E24",7889,"lượng","两"
"4E24",7879,"lưỡng","两"
"4E25",8972,"nghiêm","严"
"4E26",13904,"tịnh","並"
"4E27",11922,"táng","丧"
"4E27",11910,"tang","丧"
"4E28",3021,"cổn","丨"
"4E2A",1194,"cá","个"
"4E2B",5,"a","丫"
"4E2B",9195,"nha","丫"
"4E2D",14730,"trúng","中"
"4E2D",14610,"trọng","中"
"4E2D",14726,"trung","中"
"4E2E",11838,"tấn","丮"
"4E2F",10380,"phong","丯"
"4E30",10381,"phong","丰"
"4E31",10694,"quán","丱"
"4E31",12493,"thảo","丱"
"4E32",10695,"quán","串"
"4E32",16192,"xuyến","串"
"4E34",6944,"lâm","临"
"4E36",1627,"chủ","丶"
"4E38",5158,"hoàn","丸"
"4E39",3497,"đan","丹"
"4E3A",15722,"vi","为"
"4E3A",15770,"vị","为"
"4E3B",1628,"chủ","主"
"4E3C",3457,"đảm","丼"
"4E3C",13895,"tỉnh","丼"
"4E3D",7265,"li","丽"
"4E3D",7227,"lệ","丽"
"4E3E",3140,"cử","举"
"4E3F",10275,"phiệt","丿"
