han,chars
"""","』"
",","，"
".","。"
"a","丫"
"a","啊"
"a","婀"
"a","屙"
"a","锕"
"a","阿"
"á","亚"
"á","哑"
"á","垩"
"á","娅"
"á","桠"
"á","氩"
"á","西"
"á","覀"
"ác","偓"
"ác","喔"
"ác","垩"
"ác","幄"
"ác","恶"
"ác","握"
"ác","槔"
"ác","渥"
"ác","龌"
"ách","厄"
"ách","呃"
"ách","哑"
"ách","嗌"
"ách","扼"
"ách","搤"
"ách","軶"
"ách","轭"
"ai","哀"
"ai","哎"
"ai","唉"
"ai","埃"
"ai","挨"
"ai","诶"
"ai","霭"
"ái","僾"
"ái","唉"
"ái","嗳"
"ái","嫒"
"ái","暧"
"ái","爱"
"ái","瑷"
"ái","蔼"
"ái","诶"
"ái","邰"
"ái","霭"
"ái","靉"
"ải","嗌"
"ải","矮"
"ải","缢"
"ải","隘"
"am","厂"
"am","庵"
"am","盦"
"am","谙"
"am","鹌"
"ám","晻"
"ám","暗"
"ám","黯"
"âm","喑"
"âm","愔"
"âm","瘖"
"âm","荫"
"âm","阴"
"âm","音"
"ấm","櫅"
"ấm","稦"
"ấm","窨"
"ấm","荫"
"ấm","莍"
"ầm","繗"
"ẫm","崠"
"ảm","黯"
"ẩm","鉠"
"ẩm","雵"
"ẩm","饮"
"an","安"
"an","案"
"an","桉"
"an","铵"
"an","鞍"
"án","宴"
"án","按"
"án","晏"
"án","案"
"ân","厩"
"ân","恩"
"ân","摁"
"ân","殷"
"ấn","印"
"ẩn","瘾"
"ẩn","隐"
"ang","盎"
"ang","窫"
"ang","肮"
"áng","盎"
"anh","嘤"
"anh","婴"
"anh","撄"
"anh","樱"
"anh","瑛"
"anh","璎"
"anh","甖"
"anh","瘿"
"anh","缨"
"anh","罂"
"anh","罃"
"anh","英"
"anh","蘡"
"anh","霙"
"anh","鶧"
"anh","鹦"
"ánh","映"
"ảnh","影"
"ao","么"
"ao","凹"
"ao","吆"
"ao","坳"
"ao","拗"
"ao","鏖"
"áo","噢"
"áo","奥"
"áo","懊"
"áo","澳"
"áo","芺"
"áo","袄"
"áo","隩"
"áo","靿"
"ào","涃"
"ảo","媪"
"ảo","幻"
"ảo","拗"
"ảo","黝"
"áp","压"
"áp","厣"
"áp","押"
"áp","擫"
"áp","闸"
"áp","鸭"
"ấp","唈"
"ấp","悒"
"ấp","挹"
"ấp","揖"
"ấp","穵"
"ấp","裛"
"ấp","邑"
"ấp","阝"
"ập","縩"
"át","揠"
"át","遏"
"át","阏"
"át","頞"
"ất","乙"
"ất","枨"
"ất","檩"
"ất","钇"
"ất","陯"
"ất","靪"
"ạt","颀"
"âu","区"
"âu","怄"
"âu","欧"
"âu","沤"
"âu","瓯"
"âu","箑"
"âu","讴"
"âu","鸥"
"ấu","幼"
"ẩu","呕"
"ẩu","妪"
"ẩu","媪"
"ẩu","敺"
"ẩu","殴"
"ba","吧"
"ba","嶓"
"ba","巴"
"ba","杷"
"ba","波"
"ba","爬"
"ba","爸"
"ba","疤"
"ba","皤"
"ba","笆"
"ba","粑"
"ba","耙"
"ba","芭"
"ba","菠"
"ba","葩"
"ba","豝"
"ba","跛"
"ba","钯"
"ba","靶"
"bá","伯"
