id,han,chars
787,"dũng","勇"
788,"miễn","勉"
789,"kình","勍"
790,"lặc","勒"
791,"động","動"
792,"úc","勖"
793,"húc","勗"
794,"trợ","勗"
795,"khám","勘"
796,"vụ","務"
797,"huân","勛"
798,"thắng","勝"
799,"lao","勞"
800,"mộ","募"
801,"thế","勢"
802,"tích","勣"
803,"cần","勤"
804,"tiễu","勦"
805,"duệ","勩"
806,"hiệp","勰"
807,"hiếp","勰"
808,"mại","勱"
809,"huân","勳"
810,"lệ","勵"
811,"nhương","勷"
812,"khuyến","勸"
813,"bao","勹"
814,"chước","勺"
815,"thược","勺"
816,"quân","勻"
817,"húc","勼"
818,"câu","勾"
819,"vật","勿"
820,"bao","包"
821,"thông","匆"
822,"hung","匈"
823,"cúc","匊"
824,"đào","匋"
825,"bồ","匍"
826,"bào","匏"
827,"bàu","匏"
828,"bặc","匐"
829,"chuỷ","匕"
830,"truỷ","匕"
831,"hoá","化"
832,"bắc","北"
833,"chuỷ","匙"
834,"thi","匙"
835,"thì","匙"
836,"hệ","匚"
837,"hễ","匚"
838,"phương","匚"
839,"di","匜"
840,"tạp","匝"
841,"táp","匝"
842,"kháng","匟"
843,"tượng","匠"
844,"khuông","匡"
845,"vật","匢"
846,"hạp","匣"
847,"phỉ","匪"
848,"quĩ","匭"
849,"quỹ","匭"
850,"hối","匯"
851,"quĩ","匱"
852,"quỹ","匱"
853,"thất","匹"
854,"biên","匾"
855,"biền","匾"
856,"biển","匾"
857,"nặc","匿"
858,"âu","區"
859,"khu","區"
860,"thập","十"
861,"thiên","千"
862,"niệm","卄"
863,"tạp","卅"
864,"táp","卅"
865,"thăng","升"
866,"ngọ","午"
867,"huỷ","卉"
868,"bán","半"
869,"tấp","卌"
870,"vạn","卍"
871,"ti","卑"
872,"ty","卑"
873,"tốt","卒"
874,"trác","卓"
875,"hiệp","協"
876,"nam","南"
877,"bác","博"
878,"bốc","卜"
879,"biện","卞"
880,"chiêm","占"
881,"chiếm","占"
882,"ca","卡"
883,"tạp","卡"
884,"dữu","卣"
885,"quái","卦"
886,"tiết","卩"
887,"ngang","卬"
888,"chi","卮"
889,"mão","卯"
890,"ấn","印"
891,"nguy","危"
892,"thiệu","卲"
893,"tức","即"
894,"noãn","卵"
895,"quyển","卷"
896,"tá","卸"
897,"tuất","卹"
898,"khước","卻"
899,"khanh","卿"
900,"am","厂"
901,"hán","厂"
902,"ách","厄"
903,"nha","厊"
904,"chỉ","厎"
905,"chất","厔"
906,"bưu","厖"
907,"li","厘"
908,"ly","厘"
909,"xá","厙"
910,"hậu","厚"
911,"thố","厝"
912,"nguyên","原"
913,"ma","厤"
914,"quyết","厥"
915,"yếm","厭"
916,"lệ","厲"
917,"áp","厴"
918,"khư","厶"
919,"cầu","厹"
920,"cửu","厹"
921,"khứ","去"
922,"sâm","參"
923,"tam","參"
924,"tham","參"
925,"hựu","又"
926,"thoa","叉"
927,"xoa","叉"
928,"cập","及"
929,"hữu","友"
930,"phản","反"
931,"thúc","叔"
932,"thủ","取"
933,"thụ","受"
934,"bạn","叛"
935,"bản","叛"
936,"tẩu","叟"
