ime,chars,unicode
"ichi","一","4E00"
"tei","丁","4E01"
"tou","丁","4E01"
"chou","丁","4E01"
"shitsu","七","4E03"
"shichi","七","4E03"
"man","万","4E07"
"ban","万","4E07"
"jou","丈","4E08"
"chou","丈","4E08"
"san","三","4E09"
"shou","上","4E0A"
"jou","上","4E0A"
"ka","下","4E0B"
"ge","下","4E0B"
"ki","丌","4E0C"
"gi","丌","4E0C"
"hi","不","4E0D"
"bu","不","4E0D"
"fu","不","4E0D"
"futsu","不","4E0D"
"yo","与","4E0E"
"men","丏","4E0F"
"ben","丏","4E0F"
"kai","丐","4E10"
"katsu","丐","4E10"
"chu","丑","4E11"
"chuu","丑","4E11"
"sho","且","4E14"
"sha","且","4E14"
"hi","丕","4E15"
"sei","世","4E16"
"se","世","4E16"
"kyuu","丘","4E18"
"hyou","丙","4E19"
"hei","丙","4E19"
"shou","丞","4E1E"
"jou","丞","4E1E"
"chuu","丟","4E1F"
"chu","丟","4E1F"
"hei","並","4E26"
"a","丫","4E2B"
"chuu","中 ","4E2D"
"kyaku","丮","4E2E"
"keki","丮","4E2E"
"hou","丰","4E30"
"fu","丰","4E30"
"fuu","丰","4E30"
"bu","丰","4E30"
"kan","丱","4E31"
"kou","丱","4E31"
"ken","丱","4E31"
"sen","串","4E32"
"kan","串","4E32"
"san","丳","4E33"
"sen","丳","4E33"
"gan","丸","4E38"
"tan","丹","4E39"
"su","主","4E3B"
"shu","主","4E3B"
"tan","丼","4E3C"
"sei","丼","4E3C"
"shou","丼","4E3C"
"ge","乂","4E42"
"gai","乂","4E42"
"nai","乃","4E43"
"ai","乃","4E43"
"dai","乃","4E43"
"ku","久","4E45"
"kyuu","久","4E45"
"taku","乇","4E47"
"chaku","乇","4E47"
"eu","么","4E48"
"shi","之","4E4B"
"saku","乍","4E4D"
"sa","乍","4E4D"
"ko","乎","4E4E"
"bou","乏","4E4F"
"hei","乒","4E52"
"hau","乓","4E53"
"kai","乖","4E56"
"shou","乘","4E58"
"jou","乘","4E58"
"otsu","乙","4E59"
"me","乜","4E5C"
"ba","乜","4E5C"
"ku","九","4E5D"
"kyuu","九","4E5D"
"ki","乞","4E5E"
"kotsu","乞","4E5E"
"ya","也","4E5F"
"kei","乩","4E69"
"nyuu","乳","4E73"
"ken","乾","4E7E"
"kan","乾","4E7E"
"gen","乾","4E7E"
"ji","乿","4E7F"
"chi","乿","4E7F"
"ron","亂","4E82"
"ran","亂","4E82"
"rin","亃","4E83"
"i","亄","4E84"
"ryou","了","4E86"
"yo","予","4E88"
"sha","予","4E88"
"ji","事","4E8B"
"shi","事","4E8B"
"ni","二","4E8C"
"ji","二","4E8C"
"choku","亍","4E8D"
"ku","于","4E8E"
"u","于","4E8E"
"un","云","4E91"
"ko","互","4E92"
"go","互","4E92"
"ta","他","4ED6"
"jou","仗","4ED7"
"fu","付","4ED8"
"sen","仙","4ED9"
"ken","仚","4EDA"
"kou","仜","4EDC"
"da","仜","4EDC"
"dou","仝","4EDD"
"jin","仞","4EDE"
"sen","仟","4EDF"
"gochi","仡","4EE1"
"kitsu","仡","4EE1"
"kochi","仡","4EE1"
"tai","代","4EE3"
"dai","代","4EE3"
"rei","令","4EE4"
"ryou","令","4EE4"
"i","以","4EE5"
"sa","仨","4EE8"
"kou","仰","4EF0"
"gyou","仰","4EF0"
"kyou","仱","4EF1"
"ken","仱","4EF1"
"gon","仱","4EF1"
"kin","仱","4EF1"
"gen","仱","4EF1"
"chuu","仲","4EF2"
"hi","仳","4EF3"
"bi","仳","4EF3"
"gachi","仴","4EF4"
"gatsu","仴","4EF4"
"go","仵","4EF5"
"ko","仵","4EF5"
"ken","件","4EF6"
"kai","价","4EF7"
"nin","任","4EFB"
"hin","份","4EFD"
"hun","份","4EFD"
"hou","仿","4EFF"
"bou","仿","4EFF"
"shou","伀","4F00"
"shu","伀","4F00"
"ki","企","4F01"
"hai","伂","4F02"
"chou","伄","4F04"
"ton","伅","4F05"
"don","伅","4F05"
"shin","伈","4F08"
"kou","伉","4F09"
"i","伊","4F0A"
"kyuu","伋","4F0B"
"go","伍","4F0D"
"ki","伎","4F0E"
"gi","伎","4F0E"
"buku","伏","4F0F"
"fuu","伏","4F0F"
"fuku","伏","4F0F"
"batsu","伐","4F10"
"kyuu","休","4F11"
"ku","休","4F11"
"kon","伒","4F12"
"kin","伒","4F12"
"hai","伓","4F13"
"he","伓","4F13"
"hi","伓","4F13"
"jin","伔","4F14"
"shin","伔","4F14"
"hu","伕","4F15"
"yuu","优","4F18"
"u","优","4F18"
"ka","伙","4F19"
"ten","伝","4F1D"
"den","伝","4F1D"
"ken","伭","4F2D"
"sen","伭","4F2D"
"haku","伯","4F2F"
"ha","伯","4F2F"
"ko","估","4F30"
"sechi","伳","4F33"
"setsu","伳","4F33"
"han","伴","4F34"
"ban","伴","4F34"
"rei","伶","4F36"
"ryou","伶","4F36"
"shin","伸","4F38"
"shi","伺","4F3A"
"hou","伻","4F3B"
"hyou","伻","4F3B"
"ji","似","4F3C"
"kya","伽","4F3D"
"ka","伽","4F3D"
"ga","伽","4F3D"
"hai","伾","4F3E"
"he","伾","4F3E"
"hi","伾","4F3E"
"bi","伾","4F3E"
"i","伿","4F3F"
"tai","佁","4F41"
"i","佁","4F41"
"shi","佁","4F41"
"ji","佁","4F41"
"chi","佁","4F41"
"ai","佁","4F41"
"ten","佃","4F43"
"den","佃","4F43"
"tan","但","4F46"
"dan","但","4F46"
"cho","佇","4F47"
"hu","佈","4F48"
"ho","佈","4F48"
"kya","佉","4F49"
"ka","佉","4F49"
"ko","佉","4F49"
"kyo","佉","4F49"
"shi","佌","4F4C"
"i","位","4F4D"
"tei","低","4F4E"
"juu","住","4F4F"
"sa","佐","4F50"
"yuu","佑","4F51"
"u","佑","4F51"
"you","佒","4F52"
"au","佒","4F52"
"tei","体","4F53"
"tai","体","4F53"
"hon","体","4F53"
"sen","佔","4F54"
"chin","佔","4F54"
"ka","何","4F55"
"ga","何","4F55"
"hitsu","佖","4F56"
"bichi","佖","4F56"
"ta","佗","4F57"
"sha","佘","4F58"
"ja","佘","4F58"
"yo","余","4F59"
"itsu","佚","4F5A"
"tetsu","佚","4F5A"
"hotsu","佛","4F5B"
"butsu","佛","4F5B"
"futsu","佛","4F5B"
"saku","作","4F5C"
"sa","作","4F5C"
"kou","佝","4F5D"
"ku","佝","4F5D"
"nei","佞","4F5E"
"dei","佞","4F5E"
"tou","佟","4F5F"
"zu","佟","4F5F"
"ni","你","4F60"
"ji","你","4F60"
"ken","佡","4F61"
"kyo","佢","4F62"
"you","佣","4F63"
"hai","佩","4F69"
"kuwai","佪","4F6A"
"e","佪","4F6A"
"kyaku","佫","4F6B"
"kaku","佫","4F6B"
"ro","佬","4F6C"
"rou","佬","4F6C"
"ryou","佬","4F6C"
"kou","佮","4F6E"
"you","佯","4F6F"
"haku","佰","4F70"
"byaku","佰","4F70"
"ka","佳","4F73"
"ji","佴","4F74"
"nai","佴","4F74"
"ni","佴","4F74"
"dai","佴","4F74"
"hei","併","4F75"
"kitsu","佶","4F76"
"gochi","佶","4F76"
"kon","佷","4F77"
"gin","佷","4F77"
"gon","佷","4F77"
"kou","佷","4F77"
"gou","佷","4F77"
"katsu","佸","4F78"
"gachi","佸","4F78"
"ki","佹","4F79"
"sen","佺","4F7A"
"jou","佻","4F7B"
"you","佻","4F7B"
"chou","佻","4F7B"
"kyou","佼","4F7C"
"kou","佼","4F7C"
"shi","佽","4F7D"
"itsu","佾","4F7E"
"ichi","佾","4F7E"
"shi","使","4F7F"
"kei","侀","4F80"
"kyau","侀","4F80"
"shin","侁","4F81"
"taku","侂","4F82"
"kan","侃","4F83"
"shitsu","侄","4F84"
"shichi","侄","4F84"
"tetsu","侄","4F84"
"kai","侅","4F85"
"rai","來","4F86"
"i","侇","4F87"
"i","侈","4F88"
"shi","侈","4F88"
"ka","侉","4F89"
"ke","侉","4F89"
"a","侉","4F89"
"rei","例","4F8B"
"retsu","例","4F8B"
"ji","侍","4F8D"
"shu","侏","4F8F"
"chu","侏","4F8F"
"keki","侐","4F90"
"ki","侐","4F90"
"kyoku","侐","4F90"
"u","侑","4F91"
"yuu","侑","4F91"
"an","侒","4F92"
"mu","侔","4F94"
"bou","侔","4F94"
"ni","侕","4F95"
"ji","侕","4F95"
"rin","侖","4F96"
"ron","侖","4F96"
"zu","侗","4F97"
"tou","侗","4F97"
"tsu","侗","4F97"
"dou","侗","4F97"
"ta","侘","4F98"
"shun","侚","4F9A"
"jun","侚","4F9A"
"ku","供","4F9B"
"kyou","供","4F9B"
"chuu","侜","4F9C"
"chu","侜","4F9C"
"i","依","4F9D"
"e","依","4F9D"
"jo","侞","4F9E"
"nyo","侞","4F9E"
"bu","侮","4FAE"
"kou","侯","4FAF"
"shin","侲","4FB2"
"sa","侳","4FB3"
"shin","侵","4FB5"
"ryo","侶","4FB6"
"ro","侶","4FB6"
"kyoku","侷","4FB7"
"goku","侷","4FB7"
"tei","侹","4FB9"
"jou","侹","4FB9"
"chou","侹","4FB9"
"jin","侺","4FBA"
"shin","侺","4FBA"
"tai","侻","4FBB"
"te","侻","4FBB"
"tatsu","侻","4FBB"
"tachi","侻","4FBB"
"ben","便","4FBF"
"bin","便","4FBF"
"te","俀","4FC0"
"tai","俀","4FC0"
"gu","俁","4FC1"
"kei","係","4FC2"
"soku","促","4FC3"
"ga","俄","4FC4"
"kyuu","俅","4FC5"
"gu","俅","4FC5"
"kyau","俇","4FC7"
"kau","俇","4FC7"
"gau","俇","4FC7"
"go","俉","4FC9"
"shun","俊","4FCA"
"yuu","俋","4FCB"
"juu","俋","4FCB"
"chuu","俋","4FCB"
"rou","俍","4FCD"
"ryou","俍","4FCD"
"sho","俎","4FCE"
"so","俎","4FCE"
"seu","俏","4FCF"
"ri","俐","4FD0"
"tou","俑","4FD1"
"yuu","俑","4FD1"
"you","俑","4FD1"
"kyau","俓","4FD3"
"gau","俓","4FD3"
"gei","俓","4FD3"
"gen","俓","4FD3"
"ken","俔","4FD4"
"hai","俖","4FD6"
"he","俖","4FD6"
"zoku","俗","4FD7"
"fu","俘","4FD8"
"ke","俙","4FD9"
"kai","俙","4FD9"
"ki","俙","4FD9"
"ri","俚","4FDA"
"men","俛","4FDB"
"ben","俛","4FDB"
"fu","俛","4FDB"
"hei","俜","4FDC"
"byou","俜","4FDC"
"hou","保","4FDD"
"ho","保","4FDD"
"yu","俞","4FDE"
"shi","俟","4FDF"
"kyou","俠","4FE0"
"shin","信","4FE1"
"shu","修","4FEE"
"shuu","修","4FEE"
"fu","俯","4FEF"
"ku","俱","4FF1"
"hai","俳","4FF3"
"sen","俴","4FF4"
"zen","俴","4FF4"
"hyou","俵","4FF5"
"shuku","俶","4FF6"
"teki","俶","4FF6"
"hi","俷","4FF7"
"hou","俸","4FF8"
"en","俺","4FFA"
"hei","俾","4FFE"
"hi","俾","4FFE"
"tou","倀","5000"
"jou","倀","5000"
"chou","倀","5000"
"sotsu","倅","5005"
"sai","倅","5005"
"ryou","倆","5006"
"on","倇","5007"
"en","倇","5007"
"sou","倉","5009"
"ka","個","500B"
"ko","個","500B"
"kuwan","倌","500C"
"bai","倍","500D"
"ten","倎","500E"
"shuku","倏","500F"
"mon","們","5011"
"tou","倒","5012"
"tan","倓","5013"
"dan","倓","5013"
"kutsu","倔","5014"
"sui","倕","5015"
"tsui","倕","5015"
"zui","倕","5015"
"kou","倖","5016"
"hou","倗","5017"
"bou","倗","5017"
"shou","倘","5018"
"tou","倘","5018"
"kou","候","5019"
"i","倚","501A"
"ki","倚","501A"
"ki","倛","501B"
"teki","倜","501C"
"chuu","倜","501C"
"chaku","倜","501C"
"chyu","倜","501C"
"kyou","倞","501E"
"kei","倞","501E"
"ou","倞","501E"
"ryou","倞","501E"
"seki","借","501F"
"shaku","借","501F"
"sha","借","501F"
"ki","倠","5020"
"shou","倡","5021"
"shou","倢","5022"
"hou","倣","5023"
"kou","倥","5025"
"ken","倦","5026"
"sou","倧","5027"
"su","倧","5027"
"ko","倨","5028"
"kyo","倨","5028"
"sei","倩","5029"
"sen","倩","5029"
"gei","倪","502A"
"gai","倪","502A"
"rin","倫","502B"
"taku","倬","502C"
"choku","倬","502C"
"wa","倭","502D"
"i","倭","502D"
"shou","倯","502F"
"shu","倯","502F"
"rou","倰","5030"
"ryou","倰","5030"
"kon","倱","5031"
"gon","倱","5031"
"shi","倳","5033"
"mu","倵","5035"
"bu","倵","5035"
"nai","倷","5037"
"dai","倷","5037"
"chi","值","503C"
"choku","值","503C"
"ei","偀","5040"
"shou","偁","5041"
"en","偃","5043"
"shu","偅","5045"
"tou","偅","5045"
"shou","偅","5045"
"shun","偆","5046"
"ka","假","5047"
"ke","假","5047"
"ketsu","偈","5048"
"kei","偈","5048"
"ge","偈","5048"
"i","偉","5049"
"ku","偊","504A"
"u","偊","504A"
"hei","偋","504B"
"ja","偌","504C"
"nya","偌","504C"
"tei","偍","504D"
"dai","偍","504D"
"wai","偎","504E"
"e","偎","504E"
"hen","偏","504F"
"hu","偑","5051"
"huu","偑","5051"
"aku","偓","5053"
"kai","偕","5055"
"shau","偗","5057"
"sei","偗","5057"
"saku","做","505A"
"sa","做","505A"
"sou","偛","505B"
"sahu","偛","505B"
"tei","停","505C"
"jou","停","505C"
"chou","停","505C"
"hai","偝","505D"
"bai","偝","505D"
"you","偞","505E"
"kyou","偞","505E"
"chou","偞","505E"
"wau","偟","505F"
"kuwau","偟","505F"
"eu","偠","5060"
"tan","偡","5061"
"da","偡","5061"
"seu","偢","5062"
"an","偣","5063"
"en","偣","5063"
"yu","偤","5064"
"ken","健","5065"
"shi","偨","5068"
"huu","偩","5069"
"bu","偩","5069"
"hiyoku","偪","506A"
"huku","偪","506A"
"hiki","偪","506A"
"ji","偫","506B"
"chi","偫","506B"
"men","偭","506D"
"ben","偭","506D"
"shuu","偮","506E"
"i","偯","506F"
"e","偯","506F"
"sechi","偰","5070"
"setsu","偰","5070"
"sai","偲","5072"
"shi","偲","5072"
"tan","偳","5073"
"soku","側","5074"
"shoku","側","5074"
"tei","偵","5075"
"guu","偶","5076"
"gou","偶","5076"
"tou","偷","5077"
"chuu","偷","5077"
"san","偺","507A"
"gi","偽","507D"
"ka","偽","507D"
"kai","傀","5080"
"shi","傂","5082"
"ji","傂","5082"
"chi","傂","5082"
"so","傃","5083"
"fu","傅","5085"
"nyu","傇","5087"
"jou","傇","5087"
"kou","傋","508B"
"ku","傋","508B"
"kau","傋","508B"
"me","傌","508C"
"ba","傌","508C"
"hou","傍","508D"
"bou","傍","508D"
"ten","傎","508E"
"ketsu","傑","5091"
"kei","傒","5092"
"gei","傒","5092"
"ken","傔","5094"
"kaku","傕","5095"
"sau","傖","5096"
"shau","傖","5096"
"san","傘","5098"
"bi","備","5099"
"kou","傚","509A"
"you","傛","509B"
"yu","傛","509B"
"eu","傜","509C"
"tan","傝","509D"
"ton","傝","509D"
"tahu","傝","509D"
"sa","傞","509E"
"ka","傢","50A2"
"sai","催","50AC"
"you","傭","50AD"
"chou","傭","50AD"
"zou","傮","50AE"
"sou","傮","50AE"
"sou","傯","50AF"
"hou","傰","50B0"
"bou","傰","50B0"
"shou","傱","50B1"
"shu","傱","50B1"
"sou","傱","50B1"
"gou","傲","50B2"
"ten","傳","50B3"
"den","傳","50B3"
"u","傴","50B4"
"sai","債","50B5"
"soku","傶","50B6"
"seki","傶","50B6"
"shaku","傶","50B6"
"shou","傷","50B7"
"sau","傸","50B8"
"shau","傸","50B8"
"tai","傺","50BA"
"tei","傺","50BA"
"sa","傻","50BB"
"shou","傽","50BD"
"kei","傾","50BE"
"on","傿","50BF"
"in","傿","50BF"
"en","傿","50BF"
"sechi","僁","50C1"
"setsu","僁","50C1"
"ru","僂","50C2"
"rou","僂","50C2"
"heu","僄","50C4"
"kin","僅","50C5"
"ren","僆","50C6"
"roku","僇","50C7"
"ru","僇","50C7"
"riku","僇","50C7"
"man","僈","50C8"
"ban","僈","50C8"
"sen","僉","50C9"
"sen","僊","50CA"
"tan","僋","50CB"
"ton","僋","50CB"
"sen","僎","50CE"
"shun","僎","50CE"
"zou","像","50CF"
"shou","像","50CF"
"kyou","僑","50D1"
"kai","僓","50D3"
"tai","僓","50D3"
"te","僓","50D3"
"e","僓","50D3"
"de","僓","50D3"
"son","僔","50D4"
"boku","僕","50D5"
"ki","僖","50D6"
"rau","僗","50D7"
"ryou","僚","50DA"
"ki","僛","50DB"
"san","僝","50DD"
"zen","僝","50DD"
"fan","僠","50E0"
"shin","僣","50E3"
"sen","僣","50E3"
"tatsu","僤","50E4"
"tachi","僤","50E4"
"tan","僤","50E4"
"sen","僤","50E4"
"zen","僤","50E4"
"dan","僤","50E4"
"kyou","僥","50E5"
"gyou","僥","50E5"
"shyuu","僦","50E6"
"shu","僦","50E6"
"sou","僧","50E7"
"hon","僨","50E8"
"hun","僨","50E8"
"kan","僩","50E9"
"gen","僩","50E9"
"ichi","僪","50EA"
"gochi","僪","50EA"
"kechi","僪","50EA"
