id,input,display
181,"a1","á"
182,"e1","é"
183,"i1","í"
184,"o1","ó"
185,"u1","ú"
186,"y1","ý"
187,"a2","à"
188,"e2","è"
189,"i2","ì"
190,"o2","ò"
191,"u2","ù"
192,"y2","ỳ"
193,"a3","ả"
194,"e3","ẻ"
195,"i3","ỉ"
196,"o3","ỏ"
197,"u3","ủ"
198,"y3","ỷ"
199,"a6","â"
200,"a8","ă"
201,"e6","ê"
202,"o6","ô"
203,"o7","ơ"
204,"u7","ư"
205,"â1","ấ"
206,"â2","ầ"
207,"â3","ẩ"
208,"â4","ẫ"
209,"â5","ậ"
210,"a5","ạ"
211,"e5","ẹ"
212,"i5","ị"
213,"o5","ọ"
214,"u5","ụ"
215,"y5","ỵ"
216,"ê1","ế"
217,"ê2","ề"
218,"ê3","ể"
219,"ê4","ễ"
220,"ê5","ệ"
221,"ô1","ố"
222,"ô2","ồ"
223,"ô3","ổ"
224,"ô4","ỗ"
225,"ô5","ộ"
226,"ơ1","ớ"
227,"ơ2","ờ"
228,"ơ3","ở"
229,"ơ4","ỡ"
230,"ơ5","ợ"
231,"ư1","ứ"
232,"ư2","ừ"
233,"ư3","ử"
234,"ư4","ữ"
235,"ư5","ự"
236,"a4","ã"
237,"e4","ẽ"
238,"i4","ĩ"
239,"o4","õ"
240,"u4","ũ"
241,"y4","ỹ"
243,"d9","đ"
246,"ă?","ẳ"
247,"ă~","ẵ"
248,"ă.","ặ"
249,"ăs","ắ"
250,"ăf","ằ"
251,"ăr","ẳ"
252,"ăx","ẵ"
253,"ăj","ặ"
254,"ă1","ắ"
255,"ă2","ằ"
256,"ă3","ẳ"
257,"ă4","ẵ"
258,"ă5","ặ"
259,"-d","đ"
400,"aa","ā"
401,".d","ḍ"
402,".h","ḥ"
403,"ii","ī"
404,".l","ḷ"
405,"ḷl","ḹ"
406,".m","ṃ"
407,".n","ṇ"
408,"`n","ṅ"
409,"~n","ñ"
410,".r","ṛ"
411,"ṛr","ṝ"
412,".s","ṣ"
413,"`s","ś"
414,".t","ṭ"
415,"uu","ū"
416,".o","ŏ"
417,".e","ĕ "
418,"d.","ḍ"
419,"h.","ḥ"
420,"l.","ḷ"
421,"ḷl","ḹ"
422,"m.","ṃ"
423,"n.","ṇ"
424,"n;","ṅ"
425,"n~","ñ"
426,"r.","ṛ"
427,"ṛr","ṝ"
428,"s.","ṣ"
429,"s,","ś"
430,"t.","ṭ"
431,"o.","ŏ"
432,"e.","ĕ "
