ime,chars,unicode
"il","一","4E00"
"ceng","丁","4E01"
"chil","七","4E03"
"mwuk","万","4E07"
"man","万","4E07"
"cang","丈","4E08"
"sam","三","4E09"
"sang","上","4E0A"
"ha","下","4E0B"
"ki","丌","4E0C"
"pwul","不","4E0D"
"pwu","不","4E0D"
"ye","与","4E0E"
"myen","丏","4E0F"
"kay","丐","4E10"
"kal","丐","4E10"
"chwu","丑","4E11"
"chwuk","丑","4E11"
"ce","且","4E14"
"cha","且","4E14"
"pi","丕","4E15"
"sey","世","4E16"
"kwu","丘","4E18"
"pyeng","丙","4E19"
"sung","丞","4E1E"
"cwu","丟","4E1F"
"pyeng","並","4E26"
"a","丫","4E2B"
"cwung","中","4E2D"
"kuk","丮","4E2E"
"pong","丰","4E30"
"kwan","丱","4E31"
"chen","串","4E32"
"koc","串","4E32"
"kwan","串","4E32"
"chan","丳","4E33"
"hwan","丸","4E38"
"tan","丹","4E39"
"cwu","主","4E3B"
"ceng","丼","4E3C"
"yey","乂","4E42"
"nay","乃","4E43"
"kwu","久","4E45"
"cek","乇","4E47"
"yo","么","4E48"
"ci","之","4E4B"
"sa","乍","4E4D"
"ho","乎","4E4E"
"phip","乏","4E4F"
"koy","乖","4E56"
"sung","乘","4E58"
"ul","乙","4E59"
"mya","乜","4E5C"
"kwu","九","4E5D"
"kyu","九","4E5D"
"ki","乞","4E5E"
"kel","乞","4E5E"
"ya","也","4E5F"
"kyey","乩","4E69"
"yu","乳","4E73"
"kan","乾","4E7E"
"ken","乾","4E7E"
"lan","亂","4E82"
"uy","亄","4E84"
"lyo","了","4E86"
"ye","予","4E88"
"sa","事","4E8B"
"i","二","4E8C"
"ma","亍","4E8D"
"chok","亍","4E8D"
"wu","于","4E8E"
"wun","云","4E91"
"ho","互","4E92"
"tha","他","4ED6"
"cang","仗","4ED7"
"pwu","付","4ED8"
"sen","仙","4ED9"
"hen","仚","4EDA"
"tong","仝","4EDD"
"in","仞","4EDE"
"chen","仟","4EDF"
"hul","仡","4EE1"
"tay","代","4EE3"
"lyeng","令","4EE4"
"i","以","4EE5"
"ang","仰","4EF0"
"cwung","仲","4EF2"
"pi","仳","4EF3"
"o","仵","4EF5"
"ken","件","4EF6"
"kay","价","4EF7"
"im","任","4EFB"
"pin","份","4EFD"
"pang","仿","4EFF"
"cong","伀","4F00"
"ki","企","4F01"
"ton","伅","4F05"
"sim","伈","4F08"
"chim","伈","4F08"
"hang","伉","4F09"
"i","伊","4F0A"
"kup","伋","4F0B"
"o","伍","4F0D"
"ki","伎","4F0E"
"pok","伏","4F0F"
"pwu","伏","4F0F"
"pel","伐","4F10"
"hyu","休","4F11"
"hwa","伙","4F19"
"cen","伝","4F1D"
"payk","伯","4F2F"
"phay","伯","4F2F"
"ko","估","4F30"
"pan","伴","4F34"
"lyeng","伶","4F36"
"sin","伸","4F38"
"sa","伺","4F3A"
"phayng","伻","4F3B"
"sa","似","4F3C"
"ka","伽","4F3D"
"pi","伾","4F3E"
"i","佁","4F41"
"cen","佃","4F43"
"tan","但","4F46"
"ce","佇","4F47"
"pho","佈","4F48"
"kwu","佉","4F49"
"ke","佉","4F49"
"wi","位","4F4D"
"ce","低","4F4E"
"cwu","住","4F4F"
"cwa","佐","4F50"
"wu","佑","4F51"
"ang","佒","4F52"
"pwun","体","4F53"
"chey","体","4F53"
"cem","佔","4F54"
"ha","何","4F55"
"phil","佖","4F56"
"tha","佗","4F57"
"sa","佘","4F58"
"ye","余","4F59"
"il","佚","4F5A"
"cil","佚","4F5A"
"pwul","佛","4F5B"
"phil","佛","4F5B"
"cak","作","4F5C"
"cwu","作","4F5C"
"kwu","佝","4F5D"
"nyeng","佞","4F5E"
"thwung","佟","4F5F"
"ni","你","4F60"
"phay","佩","4F69"
"hoy","佪","4F6A"
"yang","佯","4F6F"
"peyk","佰","4F70"
"kay","佳","4F73"
"ka","佳","4F73"
"i","佴","4F74"
"pyeng","併","4F75"
"kil","佶","4F76"
"han","佷","4F77"
"hang","佷","4F77"
"kwal","佸","4F78"
"kwey","佹","4F79"
