id,chars,ime,unicode
1,"一","nhất","4E00"
2,"一","nhứt","4E00"
3,"丁","đinh","4E01"
4,"丁","đĩnh","4E01"
5,"七","thất","4E03"
6,"万","muôn","4E07"
7,"万","vàn","4E07"
8,"万","vạn","4E07"
9,"丈","trượng","4E08"
10,"三","tam","4E09"
11,"上","thượng","4E0A"
12,"下","hạ","4E0B"
13,"不","bất","4E0D"
14,"与","dữ","4E0E"
15,"与","dự","4E0E"
16,"与","đử","4E0E"
17,"丏","miện","4E0F"
18,"丐","cái","4E10"
19,"丐","gái","4E10"
20,"丑","sấu","4E11"
21,"丑","sửu","4E11"
22,"丑","xấu","4E11"
23,"丒","giấu","4E12"
24,"且","thả","4E14"
25,"且","vã","4E14"
26,"且","vả","4E14"
27,"丕","bậy","4E15"
28,"丕","chăng","4E15"
29,"丕","chẳng","4E15"
30,"丕","phi","4E15"
31,"丕","phỉ","4E15"
32,"丕","vầy","4E15"
33,"丕","vậy","4E15"
34,"世","thá","4E16"
35,"世","thé","4E16"
36,"世","thế","4E16"
37,"世","thể","4E16"
38,"丘","khâu","4E18"
39,"丘","kheo","4E18"
40,"丘","khưu","4E18"
41,"丙","biếng","4E19"
42,"丙","bính","4E19"
43,"业","nghiệp","4E1A"
44,"丛","tòng","4E1B"
45,"丛","tùng","4E1B"
46,"东","đông","4E1C"
47,"丝","ti","4E1D"
48,"丞","thừa","4E1E"
49,"丢","đâu","4E22"
50,"丢","điêu","4E22"
51,"丢","đốc","4E22"
52,"两","lạng","4E24"
53,"儗","nghì","5117"
54,"儗","nghĩ","5117"
55,"儗","nghỉ","5117"
56,"儘","tận","5118"
57,"償","thường","511F"
58,"儡","lỗi","5121"
59,"優","ưu","512A"
60,"儲","trừ","5132"
61,"儳","sàm","5133"
62,"儷","lệ","5137"
63,"儺","na","513A"
64,"儻","thảng","513B"
65,"儼","nghiễm","513C"
66,"儾","nán","513E"
67,"儿","nhi","513F"
68,"兀","ngát","5140"
69,"兀","ngột","5140"
70,"兀","ngút","5140"
71,"允","doãn","5141"
72,"元","nguyên","5143"
73,"兄","huynh","5144"
74,"充","sung","5145"
75,"兆","điềm","5146"
76,"兆","diệu","5146"
77,"兆","giệu","5146"
78,"兆","triệu","5146"
79,"兇","hung","5147"
80,"先","ten","5148"
81,"先","teng","5148"
82,"先","tiên","5148"
83,"光","cuông","5149"
84,"光","quang","5149"
85,"光","quàng","5149"
86,"光","quăng","5149"
87,"克","khắc","514B"
88,"免","mấy","514D"
89,"免","mém","514D"
90,"免","mễm","514D"
91,"免","miễn","514D"
92,"兑","đoái","5151"
93,"兑","đoài","5151"
94,"兒","nghê","5152"
95,"兒","nhẻ","5152"
96,"兒","nhi","5152"
97,"兔","thố","5154"
98,"兔","thỏ","5154"
99,"兕","tỉ","5155"
100,"党","đảng","515A"
101,"兜","đâu","515C"
102,"兢","căng","5162"
103,"兢","cạnh","5162"
104,"兢","giằng","5162"
