chars,pinyin
"一","yī"
"丁","dīng"
"七","qī"
"万","wàn"
"丈","zhàng"
"三","sān"
"上","shàng"
"下","xià"
"丌","jī"
"不","bù"
"与","yú"
"与","yù"
"与","yǔ"
"丏","miǎn"
"丐","gài"
"丑","chǒu"
"专","zhuān"
"且","qiě"
"丕","pī"
"世","shì"
"丘","qiū"
"丙","bǐng"
"业","yè"
"丛","cóng"
"东","dōng"
"丝","sī"
"丞","chéng"
"丢","diū"
"两","liǎng"
"严","yán"
"丧","sàng"
"丧","sāng"
"个","gè"
"丫","yā"
"中","zhòng"
"中","zhōng"
"丰","fēng"
"丱","guàn"
"串","chuàn"
"丳","chǎn"
"临","lín"
"丸","wán"
"丹","dān"
"为","wéi"
"为","wèi"
"主","zhǔ"
"丽","lí"
"丽","lì"
"举","jǔ"
"乂","ài"
"乂","yì"
"乃","nǎi"
"久","jiǔ"
"么","ma"
"么","me"
"么","mó"
"么","yāo"
"义","yì"
"之","zhī"
"乌","wū"
"乍","zhà"
"乎","hū"
"乏","fá"
"乐","lè"
"乐","yuè"
"乒","pīng"
"乓","pāng"
"乔","qiáo"
"乖","guāi"
"乘","chéng"
"乙","yǐ"
"乜","miē"
"九","jiǔ"
"乞","qǐ"
"也","yě"
"习","xí"
"乡","xiāng"
"书","shū"
"乩","jī"
"买","mǎi"
"乱","luàn"
"乳","rǔ"
"乾","gān"
"乾","qián"
"亄","yì"
"了","le"
"了","liào"
"了","liǎo"
"予","yú"
"予","yǔ"
"争","zhēng"
"事","shì"
"二","èr"
"亍","chù"
"于","yú"
"亏","kuī"
"云","yún"
"互","hù"
"亓","qí"
"五","wǔ"
"井","jǐng"
"亘","gèn"
"亚","yà"
"些","xiē"
"亟","jí"
"亟","qì"
"亡","wáng"
"亢","kàng"
"交","jiāo"
"亥","hài"
"亦","yì"
"产","chǎn"
"亨","hēng"
"亩","mǔ"
"享","xiǎng"
"京","jīng"
"亭","tíng"
"亮","liàng"
"亲","qīn"
"亲","qìng"
"亵","xiè"
"亶","dǎn"
"亹","wěi"
"人","rén"
"亿","yì"
"什","shí"
"仁","rén"
"仂","lè"
"仃","dīng"
"仄","zè"
"仅","jǐn"
"仆","pú"
"仆","pū"
"仇","chóu"
"仇","qiú"
"仈","bā"
"仉","zhǎng"
"今","jīn"
"介","jiè"
"仍","réng"
"从","cóng"
"从","cōng"
"从","zòng"
"仑","lún"
"仓","cāng"
"仔","zǐ"
"仔","zī"
"仕","shì"
"他","tā"
"仗","zhàng"
"付","fù"
"仙","xiān"
"仝","tóng"
"仞","rèn"
"仟","qiān"
"仡","yì"
"代","dài"
"令","líng"
"令","lìng"
"以","yǐ"
"仪","yí"
"们","men"
"仰","yǎng"
"仲","zhòng"
"仳","pǐ"
"仵","wǔ"
"件","jiàn"
"价","jià"
"价","jiè"
"任","rèn"
"份","fèn"
"仿","fǎng"
"伀","zhōng"
"伉","kàng"
"伊","yī"
"伋","jí"
"伍","wǔ"
"伎","jì"
"伏","fú"
"休","xiū"
"众","zhòng"
"优","yōu"
"伙","huǒ"
"会","huì"
"会","kuài"
"伛","yǔ"
"伞","sǎn"
"伟","wěi"
"传","chuán"
"传","zhuàn"
"伤","shāng"
"伥","chāng"
"伦","lún"
"伧","cāng"
"伪","wěi"
"伯","bó"
"估","gù"
"估","gū"
"伴","bàn"
"伶","líng"
"伸","shēn"
"伺","cì"
"伺","sì"
"伻","bēng"
"似","sì"
"伽","qié"
"伾","pī"
"佃","diàn"
"但","dàn"
"佉","qū"
"佌","cǐ"
"位","wèi"
"低","dī"
"住","zhù"
"佐","zuǒ"
"佑","yòu"
"体","tǐ"
"何","hé"
"佗","tuó"
"佘","shé"
"余","yú"
"佚","yì"
"佛","fó"
"佛","fú"
"作","zuò"
"佞","nìng"
"佟","tóng"
"你","nǐ"
"佣","yòng"
"佣","yōng"
"佤","wǎ"
"佥","qiān"
"佩","pèi"
"佪","huí"
"佫","hè"
"佬","lǎo"
"佯","yáng"
"佰","bǎi"
"佳","jiā"
"佴","èr"
"佶","jí"
"佹","guǐ"
"佺","quán"
"佼","jiǎo"
"佽","cì"
"佾","yì"
"使","shǐ"
"侀","xíng"
"侁","shēn"
"侃","kǎn"
"侄","zhí"
"侈","chǐ"
"例","lì"
"侍","shì"
"侏","zhū"
"侐","xù"
"侑","yòu"
"侔","móu"
"侗","dòng"
"侗","tóng"
"侘","chà"
"供","gòng"
"供","gōng"
"侜","zhōu"
"依","yī"
"侠","xiá"
"侣","lǚ"
"侥","jiǎo"
"侦","zhēn"
"侧","cè"
"侧","zhāi"
"侨","qiáo"
"侩","kuài"
"侪","chái"
"侬","nóng"
"侮","wǔ"
"侯","hóu"
"侵","qīn"
"便","biàn"
"便","pián"
"促","cù"
"俄","é"
"俅","qiú"
"俊","jùn"
"俎","zǔ"
"俏","qiào"
"俐","lì"
"俑","yǒng"
"俗","sú"
"俘","fú"
"俚","lǐ"
"俛","miǎn"
"俜","pīng"
"保","bǎo"
"俞","yú"
"俟","sì"
"信","xìn"
"俣","yǔ"
"俦","chóu"
"俨","yǎn"
"俩","liǎ"
"俩","liǎng"
"俪","lì"
"俭","jiǎn"
"修","xiū"
"俯","fǔ"
"俱","jù"
"俱","jū"
"俳","pái"
"俴","jiàn"
"俶","chù"
"俸","fèng"
"俺","ǎn"
"俾","bǐ"
"倅","cuì"
"倌","guān"
"倍","bèi"
"倒","dào"
"倒","dǎo"
"倔","jué"
"倘","tǎng"
"候","hòu"
"倚","yǐ"
"倜","tì"
"借","jiè"
"倡","chàng"
"倢","jié"
"倥","kǒng"
"倥","kōng"
"倦","juàn"
"倨","jù"
"倩","qiàn"
"倪","ní"
"倭","wō"
"债","zhài"
"值","zhí"
"倾","qīng"
"偁","chēng"
"偃","yǎn"
"假","jià"
"假","jiǎ"
"偈","jì"
"偈","jié"
"偌","ruò"
"偎","wēi"
"偏","piān"
"偕","jiē"
"偕","xié"
"做","zuò"
"停","tíng"
"偝","bèi"
"健","jiàn"
"偩","fù"
"偬","zǒng"
"偯","yǐ"
"偲","sī"
"偶","ǒu"
"偷","tōu"
"偻","lóu"
"偾","fèn"
"偿","cháng"
"傀","guī"
"傀","kuǐ"
"傅","fù"
"傈","sù"
"傍","bàng"
"傍","bāng"
"傎","diān"
"傒","xī"
"傜","yáo"
"傞","suō"
"傥","tǎng"
"傧","bīn"
"储","chǔ"
"傩","nuó"
"催","cuī"
"傲","ào"
"傺","chì"
"傻","shǎ"
"僇","lù"
"像","xiàng"
"僖","xī"
"僚","liáo"
"僤","dàn"
"僦","jiù"
"僧","sēng"
"僩","xiàn"
"僬","jiāo"
"僭","jiàn"
"僮","tóng"
"僮","zhuàng"
"僰","bó"
"僵","jiāng"
"僻","pì"
"僾","ài"
"儆","jǐng"
"儇","xuān"
"儋","dān"
"儌","jiǎo"
"儒","rú"
"儗","nǐ"
"儡","lěi"
"儤","bào"
"儦","biāo"
"儩","sì"
"儸","luó"
"儿","er"
"儿","ér"
"兀","wù"
"允","yǔn"
"元","yuán"
"兄","xiōng"
"充","chōng"
"兆","zhào"
"先","xiān"
"光","guāng"
"克","kè"
"免","miǎn"
"兑","duì"
"兔","tù"
"兕","sì"
"兖","yǎn"
"党","dǎng"
"兜","dōu"
"兢","jīng"
"入","rù"
"全","quán"
"八","bā"
"公","gōng"
"六","liù"
"兮","xī"
"兰","lán"
"共","gòng"
"关","guān"
"兴","xìng"
"兴","xīng"
"兵","bīng"
"其","qí"
"具","jù"
"典","diǎn"
