chars,pinyin
"咎","jiù"
"咐","fù"
"咒","zhòu"
"咕","gū"
"咖","kā"
"咚","dōng"
"咡","èr"
"咢","è"
"咥","dié"
"咥","xì"
"咧","liě"
"咧","liē"
"咨","zī"
"咪","mī"
"咫","zhǐ"
"咬","yǎo"
"咮","zhòu"
"咯","gē"
"咯","lo"
"咯","luò"
"咱","zá"
"咱","zán"
"咳","hāi"
"咳","ké"
"咷","táo"
"咸","xián"
"咺","xuǎn"
"咻","xiū"
"咼","guō"
"咽","yàn"
"咽","yān"
"咽","yè"
"咿","yī"
"哀","āi"
"品","pǐn"
"哂","shěn"
"哄","hǒng"
"哄","hōng"
"哆","duō"
"哇","wā"
"哈","hǎ"
"哈","hā"
"哉","zāi"
"哎","āi"
"員","yuán"
"哢","lòng"
"哤","máng"
"哥","gē"
"哦","é"
"哦","ó"
"哨","shào"
"哩","li"
"哩","lǐ"
"哩","lī"
"哪","na"
"哪","nǎ"
"哪","nǎi"
"哪","něi"
"哭","kū"
"哮","xiāo"
"哲","zhé"
"哺","bǔ"
"哼","hēng"
"哼","hng"
"哽","gěng"
"哿","gě"
"唁","yàn"
"唄","bài"
"唆","suō"
"唇","chún"
"唈","yì"
"唉","ài"
"唉","āi"
"唎","lì"
"唏","xī"
"唐","táng"
"唑","zuò"
"唧","jī"
"唪","fěng"
"唬","hǔ"
"售","shòu"
"唯","wéi"
"唯","wěi"
"唱","chàng"
"唳","lì"
"唷","yō"
"唸","niàn"
"唾","tuò"
"啁","zhōu"
"啃","kěn"
"啄","zhuó"
"商","shāng"
"啊","a"
"啊","á"
"啊","à"
"啊","ǎ"
"啊","ā"
"啍","tūn"
"問","wèn"
"啐","cuì"
"啖","dàn"
"啗","dàn"
"啜","chuò"
"啞","yǎ"
"啞","yā"
"啟","qǐ"
"啡","fēi"
"啢","liǎng"
"啣","xián"
"啤","pí"
"啦","la"
"啦","lā"
"啻","chì"
"啼","tí"
"喀","kā"
"喁","yóng"
"喂","wèi"
"喃","nán"
"善","shàn"
"喇","lǎ"
"喇","lā"
"喈","jiē"
"喉","hóu"
"喊","hǎn"
"喋","dié"
"喏","rě"
"喑","yīn"
"喓","yāo"
"喔","ō"
"喘","chuǎn"
"喙","huì"
"喚","huàn"
"喜","xǐ"
"喝","hè"
"喝","hē"
"喟","kuì"
"喤","huáng"
"喧","xuān"
"喨","liàng"
"喪","sàng"
"喪","sāng"
"喫","chī"
"喬","qiáo"
"喭","yàn"
"單","chán"
"單","dān"
"單","shàn"
"喱","lí"
"喳","chā"
"喵","miāo"
"喻","yù"
"嗃","hè"
"嗄","á"
"嗄","shà"
"嗅","xiù"
"嗆","qiàng"
"嗆","qiāng"
"嗇","sè"
"嗈","yōng"
"嗉","sù"
"嗊","hǒng"
"嗎","ma"
"嗎","mǎ"
"嗐","hài"
"嗑","kè"
"嗒","tà"
"嗓","sǎng"
"嗔","chēn"
"嗚","wū"
"嗜","shì"
"嗝","gé"
"嗟","jiē"
"嗟","juē"
"嗤","chī"
"嗥","háo"
"嗨","hāi"
"嗯","ēn"
"嗶","bì"
"嗷","áo"
"嗹","lián"
"嗽","sòu"
"嗾","sǒu"
"嗿","tǎn"
"嘁","qī"
"嘂","jiào"
"嘆","tàn"
"嘈","cáo"
"嘉","jiā"
"嘍","lou"
"嘍","lóu"
"嘎","gá"
"嘏","gǔ"
"嘏","jiǎ"
"嘐","xiāo"
"嘒","huì"
"嘓","guō"
"嘔","ǒu"
"嘖","zé"
"嘗","cháng"
"嘛","ma"
"嘟","dū"
"嘧","mì"
"堍","tù"
"堎","líng"
"堙","yīn"
"堝","guō"
"堞","dié"
"堠","hòu"
"堡","bǎo"
"堡","pù"
"堤","dī"
"堨","è"
"堪","kān"
"堯","yáo"
"堰","yàn"
"報","bào"
"堳","méi"
"場","chǎng"
"堵","dǔ"
"堽","gāng"
"堿","jiǎn"
"塈","jì"
"塊","kuài"
"塊","kuāi"
"塋","yíng"
"塌","tā"
"塍","chéng"
"塏","kǎi"
"塑","sù"
"塒","shí"
"塓","mì"
"塔","tǎ"
"塗","tú"
"塘","táng"
"塚","zhǒng"
"塝","bàng"
"塞","sài"
"塞","sāi"
"塞","sè"
"塢","wù"
"塤","xūn"
"塥","gé"
"填","tián"
"塱","lǎng"
"塵","chén"
"塹","qiàn"
"塼","zhuān"
"塽","shuǎng"
"塾","shú"
"塿","lǒu"
"墀","chí"
"墁","màn"
"境","jìng"
"墅","shù"
"墉","yōng"
"墊","diàn"
"墐","jǐn"
"墓","mù"
"墜","zhuì"
"墝","qiāo"
"增","zēng"
"墟","xū"
"墠","shàn"
"墦","fán"
"墨","mò"
"墩","dūn"
"墫","zūn"
"墮","duò"
"墮","huī"
"墳","fén"
"墺","ào"
"墾","kěn"
"壁","bì"
"壅","yōng"
"壇","tán"
"壈","lǎn"
"壎","xūn"
"壑","hè"
"壒","ài"
"壓","yà"
"壓","yā"
"壔","dǎo"
"壕","háo"
"壖","ruán"
"壘","lěi"
"壙","kuàng"
"壚","lú"
"壞","huài"
"壟","lǒng"
"壤","rǎng"
"壩","bà"
"士","shì"
"壬","rén"
"壯","zhuàng"
"壹","yī"
"壺","hú"
"壽","shòu"
"壿","zūn"
"夆","féng"
"夏","xià"
"夔","kuí"
"夕","xì"
"夕","xī"
"外","wài"
"夙","sù"
"多","duō"
"夜","yè"
"夠","gòu"
"夢","mèng"
"夤","yín"
"夥","huǒ"
"大","dà"
"大","dài"
"天","tiān"
"太","tài"
"夫","fū"
"夬","guài"
"夭","yāo"
"央","yāng"
"夯","hāng"
"失","shī"
"夷","yí"
"夸","kuā"
"夾","jiá"
"夾","jiā"
"奄","yǎn"
"奄","yān"
"奇","jī"
"奇","qí"
"奈","nài"
"奉","fèng"
"奎","kuí"
"奏","zòu"
"奐","huàn"
"契","qì"
"奓","shē"
"奔","bèn"
"奔","bēn"
"奕","yì"
"套","tào"
"奘","zàng"
"奘","zhuǎng"
"奚","xī"
"奠","diàn"
"奡","ào"
"奢","shē"
"奧","ào"
"奩","lián"
"奪","duó"
"奭","shì"
"奮","fèn"
"女","nǚ"
"奴","nú"
"奶","nǎi"
"奸","jiān"
"她","tā"
"好","hào"
"好","hǎo"
"妁","shuò"
"如","rú"
"妃","fēi"
"妄","wàng"
"妊","rèn"
"妍","yán"
"妒","dù"
"妓","jì"
"妖","yāo"
"妗","jìn"
"妙","miào"
"妝","zhuāng"
"妞","niū"
"妣","bǐ"
"妤","yú"
"妥","tuǒ"
"妨","fáng"
"妯","zhóu"
"妲","dá"
"妵","tǒu"
"妹","mèi"
"妻","qì"
"妻","qī"
"妾","qiè"
"姁","xǔ"
"姅","bàn"
"姆","mǔ"
"姊","zǐ"
"始","shǐ"
"姍","shān"
"姐","jiě"
"姑","gū"
"姒","sì"
"姓","xìng"
"委","wěi"
"委","wēi"
"姘","pīn"
"姚","yáo"
"姜","jiāng"
"姝","shū"
"姞","jí"
"姣","jiāo"
"姤","gòu"
"姥","lǎo"
"姥","mǔ"
"姦","jiān"
"姨","yí"
"姪","zhí"
"姬","jī"
"姮","héng"
"姱","kuā"
"姺","xiǎn"
"姻","yīn"
"姽","guǐ"
"姿","zī"
"娀","sōng"
"威","wēi"
"娃","wá"
"娉","pīng"
"娌","lǐ"
"娑","suō"
"娓","wěi"
"娘","niáng"
"娛","yú"
"娜","nuó"
"娟","juān"
"娠","shēn"
"娣","dì"
"娥","é"
"娩","miǎn"
"娩","wǎn"
"娵","jū"
"娶","qǔ"
"娸","qí"
"娼","chāng"
"婀","ē"
"婁","lóu"
"婆","pó"
"婉","wǎn"
"婊","biǎo"
"婕","jié"
"婚","hūn"
"婞","xìng"
"婢","bì"
"婤","zhōu"
"婥","chuò"
"婦","fù"
"婪","lán"
"婭","yà"
"婷","tíng"
"婺","wù"
"婼","chuò"
"婿","xù"
"媄","měi"
"媊","qián"
"媒","méi"
"媕","ān"
"媚","mèi"
"媛","yuán"
"媛","yuàn"
"媟","xiè"
"媢","mào"
"媧","wā"
"媬","bǎo"
"媮","tōu"
"媯","guī"
"媲","pì"
"媳","xí"
"媵","yìng"
"媸","chī"
"媺","měi"
"媼","ǎo"
"媽","mā"
"媾","gòu"
"媿","kuì"
"嫁","jià"
"嫂","sǎo"
"嫄","yuán"
"嫈","yīng"
"嫋","niǎo"
"嫌","xián"
"嫖","piáo"
"嫗","yù"
"嫘","léi"
"嫚","màn"
"嫜","zhāng"
"嫠","lí"
"嫡","dí"
"嫣","yān"
"嫦","cháng"
"嫩","nèn"
"嫪","lào"
"嫫","mó"
"嫵","wǔ"
"嫻","xián"
"嫽","liáo"
"嫿","huà"
"嬃","xū"
"嬈","ráo"
"嬈","rǎo"
"嬉","xī"
"嬋","chán"
"嬌","jiāo"
"嬖","bì"
"嬗","shàn"
"嬙","qiáng"
"嬛","huán"
"嬛","xuān"
"嬝","niǎo"
"嬡","ài"
"嬤","mā"
"嬪","pín"
"嬭","nǎi"
"嬰","yīng"
"嬲","niǎo"
"嬴","yíng"
"嬸","shěn"
"嬾","lǎn"
"孀","shuāng"
"孃","niáng"
"孅","xiān"
"孌","luán"
"子","zi"
"子","zǐ"
"孑","jié"
"孓","jué"
"孔","kǒng"
"孕","yùn"
"字","zì"
"存","cún"
"孚","fú"
"孛","bèi"
"孛","bó"
"孜","zī"
"孝","xiào"
"孟","mèng"
"孢","bāo"
"季","jì"
"孤","gū"
"孥","nú"
"孩","hái"
"孫","sūn"
"孰","shú"
"孱","càn"
"孱","chán"
"孳","zī"
"孵","fū"
"學","xué"
"孺","rú"
"孽","niè"
"宁","níng"
"宁","nìng"
"它","tā"
"宄","guǐ"
"宅","zhái"
"宇","yǔ"
"守","shǒu"
"安","ān"
"宋","sòng"
"完","wán"
"宏","hóng"
"宓","mì"
"宕","dàng"
"宗","zōng"
"官","guān"
"宙","zhòu"
"定","dìng"
"宛","wǎn"
"宜","yí"
"客","kè"
"宣","xuān"
"室","shì"
"宥","yòu"
"宦","huàn"
"宧","yí"
"宬","chéng"
"宮","gōng"
"宰","zǎi"
"害","hài"
"宴","yàn"
"宵","xiāo"
"家","jiā"
"宸","chén"
"容","róng"
"宿","sù"
"宿","xiù"
"宿","xiǔ"
"寁","zǎn"
"寂","jì"
"寄","jì"
"寅","yín"
"密","mì"
"寇","kòu"
"富","fù"
"寎","bìng"
"寐","mèi"
"寒","hán"
"寓","yù"
"寔","shí"
"寖","jìn"
"寙","yǔ"
"一","yī"
"丁","dīng"
"七","qī"
"万","wàn"
"丈","zhàng"
"三","sān"
"上","shàng"
"下","xià"
"丌","jī"
"不","bù"
"丏","miǎn"
"丐","gài"
"丑","chǒu"
"且","qiě"
"丕","pī"
"世","shì"
"丘","qiū"
"丙","bǐng"
"丞","chéng"
"丟","diū"
"並","bìng"
"丫","yā"
"中","zhòng"
"中","zhōng"
"丰","fēng"
"丱","guàn"
"串","chuàn"
"丳","chǎn"
"丸","wán"
"丹","dān"
"主","zhǔ"
"乂","ài"
"乂","yì"
"乃","nǎi"
"久","jiǔ"
"么","ma"
"么","me"
"么","yāo"
"之","zhī"
"乍","zhà"
"乎","hū"
"乏","fá"
"乒","pīng"
"乓","pāng"
"乖","guāi"
"乘","chéng"
"乙","yǐ"
"乜","miē"
"九","jiǔ"
"乞","qǐ"
"也","yě"
"乩","jī"
"乳","rǔ"
"乾","gān"
"乾","qián"
"亂","luàn"
"亄","yì"
"了","le"
"了","liǎo"
"予","yú"
"予","yǔ"
"事","shì"
"二","èr"
"亍","chù"
"于","yú"
"云","yún"
"互","hù"
"亓","qí"
"五","wǔ"
"井","jǐng"
"亙","gèn"
"些","xiē"
"亞","yà"
"亟","jí"
"亟","qì"
"亡","wáng"
"亢","kàng"
"交","jiāo"
"亥","hài"
"亦","yì"
"亨","hēng"
"享","xiǎng"
"京","jīng"
"亭","tíng"
"亮","liàng"
"亶","dǎn"
"亹","wěi"
"人","rén"
"什","shí"
"仁","rén"
"仂","lè"
"仃","dīng"
"仄","zè"
"仆","pú"
"仆","pū"
"仇","chóu"
"仇","qiú"
"仈","bā"
"仉","zhǎng"
"今","jīn"
"介","jiè"
"仍","réng"
"仔","zǐ"
"仔","zī"
"仕","shì"
"他","tā"
"仗","zhàng"
"付","fù"
"仙","xiān"
"仝","tóng"
"仞","rèn"
"仟","qiān"
"仡","yì"
"代","dài"
"令","lìng"
"以","yǐ"
"仰","yǎng"
"仲","zhòng"
"仳","pǐ"
"仵","wǔ"
"件","jiàn"
"价","jià"
"价","jiè"
"任","rèn"
"份","fèn"
"仿","fǎng"
"伀","zhōng"
"伈","xǐn"
"伉","kàng"
"伊","yī"
"伋","jí"
"伍","wǔ"
"伎","jì"
"伏","fú"
"休","xiū"
"伕","fū"
"伙","huǒ"
"伯","bó"
"估","gù"
"估","gū"
"伴","bàn"
"伶","líng"
"伸","shēn"
"伺","cì"
"伺","sì"
"伻","bēng"
"似","sì"
"伽","qié"
"伾","pī"
"佃","diàn"
"但","dàn"
"佈","bù"
"佉","qū"
"佌","cǐ"
"位","wèi"
"低","dī"
"住","zhù"
"佐","zuǒ"
"佑","yòu"
"佔","zhàn"
"佔","zhān"
"何","hé"
"佗","tuó"
"佘","shé"
"余","yú"
"佚","yì"
"佛","fó"
"作","zuò"
"佞","nìng"
"佟","tóng"
"你","nǐ"
"佣","yòng"
"佣","yōng"
"佤","wǎ"
"佩","pèi"
"佪","huí"
"佫","hè"
"佬","lǎo"
"佯","yáng"
"佰","bǎi"
"佳","jiā"
"佴","èr"
"併","bìng"
"佶","jí"
"佹","guǐ"
"佺","quán"
"佼","jiǎo"
"佽","cì"
"佾","yì"
"使","shǐ"
"侀","xíng"
"侁","shēn"
"侃","kǎn"
"來","lái"
"侈","chǐ"
"例","lì"
"侍","shì"
"侏","zhū"
"侐","xù"
"侑","yòu"
"侔","móu"
"侖","lún"
"侗","dòng"
"侗","tóng"
"侘","chà"
"侚","xùn"
"供","gòng"
"供","gōng"
"侜","zhōu"
"依","yī"
"侮","wǔ"
"侯","hóu"
"侵","qīn"
"侶","lǚ"
"侷","jú"
"便","biàn"
"便","pián"
"俁","yǔ"
"係","xì"
"促","cù"
"俄","é"
"俅","qiú"
"俊","jùn"
"俎","zǔ"
"俏","qiào"
"俐","lì"
"俑","yǒng"
"俗","sú"
"俘","fú"
"俚","lǐ"
"俛","miǎn"
"俜","pīng"
"保","bǎo"
"俞","yú"
"俟","sì"
"俠","xiá"
"信","xìn"
"修","xiū"
"俯","fǔ"
"俱","jù"
"俱","jū"
"俳","pái"
"俴","jiàn"
"俵","biǎo"
"俶","chù"
"俸","fèng"
"俺","ǎn"
"俾","bǐ"
"倀","chāng"
"倅","cuì"
"倆","liǎ"
"倆","liǎng"
"倉","cāng"
