id,ime,chars,unicode
1,"chu4","䖏","458F"
2,"biao","䁃","4043"
3,"bie","㿜","3FDC"
4,"bo","㹀","3E40"
5,"bo2","䬪","4B2A"
6,"cai","䌨","4328"
7,"cai4","䌨","4328"
8,"can","䱗","4C57"
9,"cha2","??","26246"
10,"chai3","䜺","473A"
11,"chan","??","222E8"
12,"chan2","㕓","3553"
13,"chen","䜟","471F"
14,"chen4","䜟","471F"
15,"den4","㩐","3A50"
16,"da2","??","2852C"
17,"den","㩐","3A50"
18,"de2","䙷","4677"
19,"de","䙷","4677"
20,"dao3","??","28565"
21,"dao","㠀","3800"
22,"chu","䖏","458F"
23,"dang","䣊","48CA"
24,"chu2","??","281BC"
25,"da","??","2852C"
26,"cong","䗥","45E5"
27,"ci4","㓨","34E8"
28,"ci2","??","26231"
29,"ci","㓨","34E8"
30,"ben4","㤓","3913"
31,"dang3","䣊","48CA"
32," hu2","䊀","4280"
33,"bi4","䩛","4A5B"
34," yi","䝯","476F"
35," mo4","䃺","40FA"
36," mo","䃺","40FA"
37," liu4","??","297B7"
38,"an","䳺","4CFA"
39," hu4","䊀","4280"
40,"ang","㼜","3F1C"
41," hu","䊀","4280"
42," dao4","??","28565"
43," dao","??","28565"
44," bie3","㿜","3FDC"
45," bie","㿜","3FDC"
46,"ng","??","20BBE"
47," liu","??","297B7"
48,"bang","??","27A42"
49,"chai","䜺","473A"
50,"ben","㤓","3913"
51,"bei4","䰽","4C3D"
52,"bei","䰽","4C3D"
53,"bao3","??","2090F"
54," yi4","䝯","476F"
55,"bang4","??","27A42"
56,"bi","䩛","4A5B"
57,"bai","㗑","35D1"
58,"ba4","䆉","4189"
59,"ba","䎱","43B1"
60,"ao4","㕭","356D"
61,"ao","??","243F6"
62,"ang4","㼜","3F1C"
63,"bao","??","2090F"
64,"hu","䊀","4280"
65,"gôu","㺃","3E83"
66,"gui","㱕","3C55"
67,"gun3","??","25566"
68,"hang","䂫","40AB"
69,"heng","??","2258D"
70,"heng2","??","2258D"
71,"gou","䬲","4B32"
72,"hou4","??","284A5"
73,"gun","??","25566"
74,"hua","䛡","46E1"
75,"hua4","䛡","46E1"
76,"huan","䝔","4754"
77,"huang","㨪","3A2A"
78,"lv","䕡","4561"
79,"cha","??","26246"
80,"di","㛳","36F3"
81,"hou","??","284A5"
82,"dun3","??","2000A"
83,"di4","㛳","36F3"
84,"dian","??","20458"
85,"ding","㣔","38D4"
86,"ding4","㝎","374E"
87,"dong","㨂","3A02"
88,"dun","??","2000A"
89,"geng","㪅","3A85"
90,"e","㗁","35C1"
91,"e4","㧖","39D6"
92,"fei4","䕠","4560"
93,"fu","䩉","4A49"
94,"fu3","䩉","4A49"
95,"fei","䕠","4560"
96,"gai4","㕢","3562"
97,"dong3","㨂","3A02"
98,"gai","㕢","3562"
99,"suan","䝜","475C"
100,"qiu","䲡","4CA1"
101,"shi","??","22A2A"
102,"shi4","䑛","445B"
103,"shu","??","26620"
104,"shu4","䜿","473F"
105,"shuan","??","237F4"
106,"shuang","??","24564"
107,"shuang3","??","24564"
108,"shuang4","㦼","39BC"
109,"she4","䠶","4836"
110,"su4","㴑","3D11"
111,"she","䠶","4836"
112,"suan4","??","25AEB"
113,"sui","??","2447E"
114,"sui4","??","2447E"
115,"suo","??","22C62"
116,"suo3","??","22C62"
117,"tai","䔶","4536"
118,"tai2","䑓","4453"
119,"tang","??","27F2E"
120,"tao","䵚","4D5A"
121,"su","㴑","3D11"
122,"san3","䊉","4289"
123,"yao2","??","222C7"
124,"quan","??","21FE8"
125,"quan3","??","21FE8"
126,"que","??","22871"
127,"que4","㩁","3A41"
128,"ran","??","2A6AE"
129,"ran2","??","2A6AE"
130,"sa","??","22D8D"
131,"sa4","䬃","4B03"
132,"shen","??","25E31"
133,"san","䊉","4289"
134,"ti","??","29B9C"
135,"sao","㛐","36D0"
136,"sao3","㛐","36D0"
137,"sha","㬠","3B20"
138,"sha4","㬠","3B20"
139,"shai","㬠","3B20"
140,"shai4","㬠","3B20"
141,"shan","㨛","3A1B"
142,"shan3","㨛","3A1B"
143,"shao","䈾","423E"
144,"sai","㩄","3A44"
145,"xu","??","26553"
146,"xi","??","2263B"
147,"xi4","䦧","49A7"
148,"xian","䨘","4A18"
149,"xian2","㳄","3CC4"
150,"xian4","䨘","4A18"
151,"xie","㩗","3A57"
152,"xie2","㩗","3A57"
153,"xie4","䪥","4AA5"
154,"xing","??","206EC"
155,"tao2","䄻","413B"
156,"xiong","㐫","342B"
157,"wei2","㟴","37F4"
158,"xu4","??","26553"
159,"xun","㢲","38B2"
160,"xun4","㢲","38B2"
161,"ya","??","2625F"
162,"ya4","??","2625F"
163,"yang","??","23ECC"
164,"yang2","??","22F99"
165,"yang4","??","23ECC"
166,"yao","??","222C7"
167,"xing2","??","206EC"
168,"tuan2","䊜","429C"
169,"qiong2","??","20316"
170,"ti2","䔶","4536"
171,"ti4","??","29B9C"
172,"tiao","䠷","4837"
173,"tiao4","䠷","4837"
174,"tie","䥫","496B"
175,"tie3","䥫","496B"
176,"ting","䯕","4BD5"
177,"tong","??","22CDF"
178,"wu4","??","24D50"
179,"tuan","䊜","429C"
180,"wu","??","24D50"
181,"tun","㹠","3E60"
182,"tun2","㹠","3E60"
183,"tuo","??","237C4"
184,"tuo4","??","237C4"
185,"wa","㧚","39DA"
186,"wa3","㧚","39DA"
187,"wan","㼝","3F1D"
188,"wan3","㼝","3F1D"
189,"wei","㟴","37F4"
190,"tao3","䵚","4D5A"
191,"tong3","??","22CDF"
192,"long","㟖","37D6"
193,"qiu2","䊵","42B5"
194,"lei","??","2952B"
195,"lei4","??","2952B"
196,"li","䖽","45BD"
