unicode,bo,han,them
"4E00","一","一","0"
"4E01","一","丁","1"
"4E02","一","丂","1"
"4E03","一","七","1"
"4E04","一","丄","1"
"4E05","一","丅","1"
"4E06","一","丆","1"
"4E07","一","万","2"
"4E08","一","丈","2"
"4E09","一","三","2"
"4E0A","一","上","2"
"4E0B","一","下","2"
"4E0C","一","丌","2"
"4E0D","一","不","3"
"4E0E","一","与","3"
"4E0F","一","丏","3"
"4E10","一","丐","3"
"4E11","一","丑","3"
"4E12","一","丒","3"
"4E13","一","专","4"
"4E14","一","且","4"
"4E15","一","丕","4"
"4E16","一","世","4"
"4E17","一","丗","4"
"4E18","一","丘","4"
"4E19","一","丙","4"
"4E1A","一","业","4"
"4E1B","一","丛","4"
"4E1C","一","东","4"
"4E1D","一","丝","4"
"4E1E","一","丞","5"
"4E1F","一","丟","5"
"4E20","一","丠","5"
"4E21","一","両","5"
"4E22","一","丢","5"
"4E23","一","丣","6"
"4E24","一","两","6"
"4E25","一","严","6"
"4E26","一","並","7"
"4E27","一","丧","7"
"4E28","丨","丨","0"
"4E29","丨","丩","1"
"4E2A","丨","个","2"
"4E2B","丨","丫","2"
"4E2C","丨","丬","2"
"4E2D","丨","中","3"
"4E2E","丨","丮","3"
"4E2F","丨","丯","3"
"4E30","丨","丰","3"
"4E31","丨","丱","4"
"4E32","丨","串","6"
"4E33","丨","丳",""
"4E34","丨","临",""
"4E35","丨","丵",""
"4E36","丶","丶","0"
"4E37","丶","丷","1"
"4E38","丶","丸","2"
"4E39","丶","丹","3"
"4E3A","丶","为",""
"4E3B","丶","主","4"
"4E3C","丶","丼","4"
"4E3D","丶","丽",""
"4E3E","丶","举",""
"4E3F","丿","丿","0"
"4E40","丿","乀",""
"4E41","丿","乁",""
"4E42","丿","乂","1"
"4E43","丿","乃","1"
"4E44","丿","乄",""
"4E45","丿","久","2"
"4E46","丿","乆","2"
"4E47","丿","乇","2"
"4E48","丿","么","2"
"4E49","丿","义",""
"4E4A","丿","乊",""
"4E4B","丿","之","3"
"4E4C","丿","乌",""
"4E4D","丿","乍","4"
"4E4E","丿","乎","4"
"4E4F","丿","乏","4"
"4E50","丿","乐",""
"4E51","丿","乑",""
"4E52","丿","乒",""
"4E53","丿","乓","5"
"4E54","丿","乔",""
"4E55","丿","乕",""
"4E56","丿","乖","7"
"4E57","丿","乗",""
"4E58","丿","乘","9"
"4E59","乙","乙","0"
"4E5A","乙","乚",""
"4E5B","乙","乛",""
"4E5C","乙","乜","1"
"4E5D","乙","九","1"
"4E5E","乙","乞","2"
"4E5F","乙","也","2"
"4E60","乙","习",""
"4E61","乙","乡",""
"4E62","乙","乢",""
"4E63","乙","乣",""
"4E64","乙","乤",""
"4E65","乙","乥",""
"4E66","乙","书",""
"4E67","乙","乧",""
"4E68","乙","乨",""
"4E69","乙","乩","5"
"4E6A","乙","乪",""
"4E6B","乙","乫",""
"4E6C","乙","乬",""
"4E6D","乙","乭",""
"4E6E","乙","乮",""
"4E6F","乙","乯",""
"4E70","乙","买",""
"4E71","乙","乱",""
"4E72","乙","乲",""
"4E73","乙","乳","7"
"4E74","乙","乴",""
"4E75","乙","乵",""
"4E76","乙","乶",""
"4E77","乙","乷",""
"4E78","乙","乸",""
"4E79","乙","乹",""
"4E7A","乙","乺",""
"4E7B","乙","乻",""
"4E7C","乙","乼",""
"4E7D","乙","乽",""
"4E7E","乙","乾","10"
"4E7F","乙","乿",""
"4E80","乙","亀",""
"4E81","乙","亁",""
"4E82","乙","亂","12"
"4E83","乙","亃",""
"4E84","乙","亄",""
"4E85","亅","亅","0"
"4E86","亅","了","1"
"4E87","亅","亇",""
"4E88","亅","予","3"
"4E89","亅","争",""
"4E8A","亅","亊",""
"4E8B","亅","事","7"
"4E8C","二","二","0"
"4E8D","二","亍","1"
"4E8E","二","于","1"
"4E8F","二","亏","1"
"4E90","二","亐","1"
"4E91","二","云","2"
"4E92","二","互","2"
"4E93","二","亓","2"
"4E94","二","五","2"
"4E95","二","井","2"
"4E96","二","亖","2"
"4E97","二","亗","3"
"4E98","二","亘","4"
"4E99","二","亙","4"
"4E9A","二","亚",""
"4E9B","二","些","5"
"4E9C","二","亜",""
"4E9D","二","亝",""
"4E9E","二","亞","6"
"4E9F","二","亟","6"
"4EA0","亠","亠","0"
"4EA1","亠","亡","1"
"4EA2","亠","亢","2"
"4EA3","亠","亣","2"
"4EA4","亠","交","4"
"4EA5","亠","亥","4"
"4EA6","亠","亦","4"
"4EA7","亠","产",""
"4EA8","亠","亨","5"
"4EA9","亠","亩",""
"4EAA","亠","亪",""
"4EAB","亠","享","6"
"4EAC","亠","京","6"
"4EAD","亠","亭","7"
"4EAE","亠","亮","7"
"4EAF","亠","亯","7"
"4EB0","亠","亰",""
"4EB1","亠","亱",""
"4EB2","亠","亲",""
"4EB3","亠","亳","8"
"4EB4","亠","亴",""
"4EB5","亠","亵",""
"4EB6","亠","亶","11"
"4EB7","亠","亷",""
"4EB8","亠","亸",""
"4EB9","亠","亹","19"
"4EBA","人","人","0"
"4EBB","人","亻","0"
"4EBC","人","亼",""
"4EBD","人","亽",""
"4EBE","人","亾",""
"4EBF","人","亿",""
"4EC0","人","什","2"
"4EC1","人","仁","2"
"4EC2","人","仂","2"
"4EC3","人","仃","2"
"4EC4","人","仄","2"
"4EC5","人","仅","2"
"4EC6","人","仆","2"
"4EC7","人","仇","2"
"4EC8","人","仈","2"
"4EC9","人","仉","2"
"4ECA","人","今","2"
"4ECB","人","介","2"
"4ECC","人","仌","2"
"4ECD","人","仍","2"
"4ECE","人","从",""
"4ECF","人","仏",""
"4ED0","人","仐",""
"4ED1","人","仑",""
"4ED2","人","仒",""
"4ED3","人","仓",""
"4ED4","人","仔","3"
"4ED5","人","仕","3"
"4ED6","人","他","3"
"4ED7","人","仗","3"
"4ED8","人","付","3"
"4ED9","人","仙","3"
"4EDA","人","仚","3"
"4EDB","人","仛","3"
"4EDC","人","仜","3"
"4EDD","人","仝","3"
"4EDE","人","仞","3"
"4EDF","人","仟","3"
"4EE0","人","仠","3"
"4EE1","人","仡","3"
"4EE2","人","仢","3"
"4EE3","人","代","3"
"4EE4","人","令","3"
"4EE5","人","以","3"
"4EE6","人","仦","3"
"4EE7","人","仧","3"
"4EE8","人","仨","3"
"4EE9","人","仩",""
"4EEA","人","仪",""
"4EEB","人","仫",""
"4EEC","人","们",""
"4EED","人","仭",""
"4EEE","人","仮",""
"4EEF","人","仯",""
"4EF0","人","仰","4"
"4EF1","人","仱","4"
"4EF2","人","仲","4"
"4EF3","人","仳","4"
"4EF4","人","仴","4"
"4EF5","人","仵","4"
"4EF6","人","件","4"
"4EF7","人","价","4"
"4EF8","人","仸","4"
"4EF9","人","仹","4"
"4EFA","人","仺","4"
"4EFB","人","任","4"
"4EFC","人","仼","4"
"4EFD","人","份","4"
"4EFE","人","仾","4"
"4EFF","人","仿","4"
"4F00","人","伀","4"
"4F01","人","企","4"
"4F02","人","伂","4"
"4F03","人","伃","4"
"4F04","人","伄","4"
"4F05","人","伅","4"
"4F06","人","伆","4"
"4F07","人","伇","4"
"4F08","人","伈","4"
"4F09","人","伉","4"
"4F0A","人","伊","4"
"4F0B","人","伋","4"
