id,tra,sim
1,"一","一"
3909,"亍","亍"
3910,"于","于"
8666,"表","表"
12985,"甬","甬"
12989,"承","承"
9038,"兩","两"
12978,"乩","乩"
8511,"丞","丞"
8525,"甫","甫"
8537,"更","更"
10263,"串","串"
1488,"二","二"
1971,"丁","丁"
2103,"七","七"
2492,"三","三"
11317,"之","之"
11341,"丹","丹"
3953,"与","与"
3954,"上","上"
4569,"才","才"
4705,"下","下"
5178,"丌","丌"
5180,"丈","丈"
5207,"万","万"
5210,"亓","亓"
5211,"井","井"
5323,"丐","丐"
5347,"五","五"
6204,"丏","丏"
6207,"不","不"
10667,"爻","爻"
10681,"乏","乏"
11855,"半","半"
8272,"丘","丘"
8825,"亞","亚"
15100,"協","协"
7759,"屯","屯"
7881,"丑","丑"
7889,"互","互"
7942,"丕","丕"
7990,"世","世"
8338,"再","再"
9475,"中","中"
13146,"乳","乳"
16680,"匪","匪"
8221,"且","且"
8257,"丙","丙"
8430,"吏","吏"
8495,"亙","亘"
8878,"事","事"
10252,"丱","丱"
18592,"今","今"
14940,"卑","卑"
24596,"俘","俘"
24619,"俀","俀"
24620,"俛","俛"
29573,"傽","傽"
29577,"僇","僇"
29589,"僰","僰"
29592,"僣","僣"
29593,"僥","侥"
42467,"刌","刌"
42469,"刉","刉"
42471,"刑","刑"
15182,"南","南"
9367,"甚","甚"
9403,"甭","甭"
9404,"奡","奡"
9406,"爾","尔"
9428,"丫","丫"
9453,"丰","丰"
10319,"羋","芈"
10320,"丳","丳"
10321,"乂","乂"
10327,"乃","乃"
10352,"乇","乇"
10354,"川","川"
10427,"久","久"
10512,"及","及"
10552,"升","升"
10716,"乍","乍"
10740,"乎","乎"
10746,"年","年"
10946,"乒","乒"
10951,"乓","乓"
10952,"甪","甪"
10956,"乖","乖"
11082,"禹","禹"
11114,"胤","胤"
11126,"乘","乘"
11294,"睾","睾"
11296,"丸","丸"
11643,"主","主"
12064,"州","州"
12106,"乙","乙"
12133,"了","了"
12214,"九","九"
19914,"仟","仟"
19918,"仡","仡"
19927,"伋","伋"
19929,"仔","仔"
19942,"他","他"
14162,"卄","卄"
14163,"千","千"
16136,"厭","厌"
21472,"佃","佃"
22219,"伭","伭"
22223,"伴","伴"
24467,"俙","俙"
24469,"侳","侳"
24470,"俗","俗"
12789,"乜","乜"
12800,"乞","乞"
12913,"也","也"
12946,"丮","丮"
12947,"卍","卍"
12951,"予","予"
23814,"俠","侠"
23844,"俓","俓"
23845,"修","修"
24642,"俇","俇"
24645,"係","系"
24682,"信","信"
13268,"亟","亟"
13276,"乾","干"
13578,"亄","亄"
13580,"亂","乱"
13727,"舝","舝"
13728,"十","十"
16065,"厥","厥"
16075,"厲","厉"
30503,"僿","僿"
30506,"僻","僻"
25640,"俺","俺"
25646,"倢","倢"
25647,"俴","俴"
25651,"倒","倒"
14539,"廿","廿"
14548,"卅","卅"
14549,"卉","卉"
14564,"卌","卌"
14565,"卓","卓"
14629,"直","直"
16236,"厴","厣"
16237,"匚","匚"
16238,"匹","匹"
17728,"冊","册"
17762,"冏","冏"
20431,"伓","伓"
20432,"伏","伏"
23199,"佌","佌"
23202,"侗","侗"
23208,"侃","侃"
23219,"侶","侣"
23222,"佪","佪"
23227,"侏","侏"
23239,"侁","侁"
15060,"卒","卒"
15553,"博","博"
15717,"矗","矗"
15725,"厂","厂"
15726,"厄","厄"
15749,"厊","厊"
15750,"厏","厏"
15752,"厎","厎"
15767,"厔","厔"
15768,"厙","厍"
15770,"厖","厖"
15785,"厘","厘"
15794,"厚","厚"
15874,"厗","厗"
15876,"厝","厝"
22506,"來","来"
15900,"厞","厞"
15901,"厜","厜"
15902,"原","原"
16064,"厤","历"
16314,"巨","巨"
16429,"叵","叵"
16435,"匝","匝"
16448,"匜","匜"
16450,"匡","匡"
16560,"匠","匠"
16603,"匟","匟"
16606,"匣","匣"
16624,"匼","匼"
16626,"匽","匽"
16636,"匿","匿"
16738,"匭","匦"
16746,"區","区"
16822,"匾","匾"
16840,"匯","汇"
16868,"匱","匮"
16887,"匰","匰"
16888,"匴","匴"
16889,"匷","匷"
16890,"卜","卜"
16961,"卞","卞"
23653,"俎","俎"
23665,"俅","俅"
23668,"便","便"
16980,"卡","卡"
17006,"占","占"
17106,"卣","卣"
17107,"卦","卦"
17127,"冇","冇"
17128,"內","内"
19596,"仙","仙"
20940,"伉","伉"
25282,"倩","倩"
26750,"倓","倓"
26753,"倌","倌"
17606,"禸","禸"
17607,"用","用"
17706,"甩","甩"
17717,"冉","冉"
17770,"岡","冈"
17785,"冓","冓"
17786,"人","人"
18211,"入","入"
18461,"仄","仄"
18490,"介","介"
18669,"以","以"
18895,"仁","仁"
19006,"什","什"
19026,"仃","仃"
19028,"仆","仆"
19037,"仍","仍"
19055,"仇","仇"
19100,"仉","仉"
19101,"化","化"
19272,"仂","仂"
19276,"仝","仝"
19277,"尒","尒"
19279,"令","令"
19408,"仨","仨"
19409,"仕","仕"
19434,"付","付"
19463,"仗","仗"
19495,"代","代"
19987,"仞","仞"
19990,"全","全"
20180,"企","企"
20223,"伕","夫"
20229,"伝","伝"
20231,"休","休"
20379,"伍","伍"
20405,"伎","伎"
20598,"优","优"
20599,"佢","佢"
20601,"伢","伢"
20603,"伅","伅"
20604,"伐","伐"
20646,"仳","仳"
20651,"佤","佤"
20653,"仲","仲"
20705,"仵","仵"
20709,"件","件"
20718,"任","任"
20850,"价","价"
20856,"仱","仱"
20857,"份","份"
21090,"似","似"
21102,"佘","畲"
21104,"余","余"
21864,"伯","伯"
22288,"佖","佖"
22290,"伺","伺"
22307,"佛","佛"
20867,"伀","伀"
20869,"仰","仰"
20965,"仿","仿"
20992,"伙","伙"
21004,"伈","伈"
21006,"伊","伊"
21112,"佞","佞"
21147,"佉","佉"
21158,"估","估"
21188,"体","体"
21190,"何","何"
21320,"佐","佐"
21366,"伾","伾"
21370,"佑","佑"
21376,"佈","布"
21392,"伻","伻"
21395,"佧","佧"
21397,"佔","占"
21404,"攸","攸"
21416,"但","但"
21428,"伸","伸"
21485,"伿","伿"
21486,"佒","佒"
21487,"佚","佚"
21533,"作","作"
21986,"伶","伶"
22005,"低","低"
22128,"佣","佣"
22131,"你","你"
22149,"佝","佝"
22153,"佟","佟"
22155,"住","住"
22192,"位","位"
22253,"佇","伫"
22272,"佗","佗"
22482,"伽","伽"
22502,"佁","佁"
22690,"侀","侀"
22691,"佳","佳"
22777,"侖","仑"
22779,"侍","侍"
22875,"佶","佶"
22882,"佬","佬"
22884,"佴","佴"
22885,"供","供"
22981,"使","使"
23118,"佰","佰"
23119,"侑","侑"
23140,"侉","侉"
23147,"例","例"
23185,"侇","侇"
23186,"侄","侄"
23242,"侹","侹"
23244,"佸","佸"
23245,"侐","侐"
23246,"侜","侜"
23251,"佺","佺"
23253,"佮","佮"
23254,"佻","佻"
23287,"佾","佾"
23291,"佩","佩"
23333,"佹","佹"
23346,"侚","侚"
23347,"佫","佫"
23348,"侈","侈"
23430,"侂","侂"
23432,"佼","佼"
23441,"依","依"
23572,"佽","佽"
23577,"侅","侅"
23578,"佯","佯"
23597,"併","并"
23612,"侘","侘"
23614,"佷","佷"
23620,"侞","侞"
23621,"侔","侔"
23632,"俞","俞"
23808,"俉","俉"
23810,"侲","侲"
24078,"俏","俏"
24104,"俚","俚"
24137,"俔","俔"
24140,"保","保"
24344,"俁","俣"
24346,"俜","俜"
24349,"促","促"
24412,"俋","俋"
24414,"俄","俄"
24428,"俐","俐"
24433,"侮","侮"
25959,"倬","倬"
25964,"條","条"
30702,"儑","儑"
30703,"儗","儗"
30711,"儕","侪"
30728,"儐","傧"
30739,"儜","儜"
31112,"儭","儭"
31113,"儱","儱"
31116,"儳","儳"
31131,"儴","儴"
31135,"儺","傩"
31144,"儷","俪"
24883,"侻","侻"
24887,"俍","俍"
24890,"侵","侵"
29659,"僊","僊"
29660,"僳","僳"
29661,"僚","僚"
36468,"咒","咒"
36724,"玄","玄"
29689,"僭","僭"
25244,"俸","俸"
28203,"傣","傣"
28205,"傲","傲"
28646,"傛","傛"
28649,"傕","傕"
28650,"僉","佥"
28681,"債","债"
36188,"兗","兖"
36189,"党","党"
36194,"兜","兜"
25308,"俵","俵"
25324,"倀","伥"
25327,"倰","倰"
25329,"倖","幸"
26691,"倣","仿"
26704,"倦","倦"
27126,"偪","偪"
25020,"侯","侯"
25059,"侷","局"
25061,"俑","俑"
25062,"俟","俟"
25080,"俊","俊"
25178,"倉","仓"
25357,"倛","倛"
25361,"借","借"
25487,"偌","偌"
25488,"值","值"
25509,"倳","倳"
25513,"倆","俩"
25514,"倷","倷"
25515,"倚","倚"
25916,"俳","俳"
25941,"俶","俶"
26134,"倏","倏"
26149,"脩","修"
26287,"倘","倘"
26296,"俱","俱"
26537,"倗","倗"
26539,"俷","俷"
26541,"倜","倜"
26551,"倞","倞"
26552,"俯","俯"
26304,"倱","倱"
26306,"倡","倡"
26368,"個","个"
26388,"候","候"
26755,"倥","倥"
26760,"倇","倇"
26762,"健","健"
28696,"傿","傿"
28697,"僅","仅"
28703,"傳","传"
32992,"並","并"
26822,"們","们"
26823,"倨","倨"
36258,"兟","兟"
36260,"兢","兢"
29770,"僕","仆"
26466,"倕","倕"
26467,"倭","倭"
26486,"倪","倪"
26492,"倠","倠"
26494,"俾","俾"
26498,"倫","伦"
26609,"倅","倅"
26623,"倍","倍"
26847,"倔","倔"
26860,"偰","偰"
26861,"偆","偆"
26863,"偞","偞"
26865,"做","做"
31640,"兮","兮"
31642,"六","六"
29276,"傯","偬"
29279,"傱","傱"
29283,"僁","僁"
29286,"僋","僋"
29287,"傾","倾"
32089,"公","公"
36491,"凰","凰"
36493,"凱","凯"
27020,"偃","偃"
27147,"偠","偠"
27150,"偭","偭"
27155,"偕","偕"
27167,"偝","偝"
27168,"偵","侦"
27201,"偍","偍"
27202,"側","侧"
27481,"偁","偁"
27483,"偩","偩"
27484,"偺","咱"
27485,"偯","偯"
27486,"停","停"
28631,"傔","傔"
34551,"匒","匒"
34552,"匐","匐"
34555,"匑","匑"
34556,"匕","匕"
34563,"北","北"
27298,"偶","偶"
27342,"偈","偈"
27351,"偎","偎"
27369,"偲","偲"
27371,"偢","偢"
27376,"偅","偅"
27377,"偟","偟"
27381,"傀","傀"
27397,"偊","偊"
27400,"偫","偫"
27401,"偷","偷"
27614,"傞","傞"
27617,"偏","偏"
27878,"假","假"
28079,"偓","偓"
28082,"偋","偋"
28083,"偉","伟"
28149,"傘","伞"
28159,"禽","禽"
28261,"傌","傌"
28262,"傃","傃"
28263,"傋","傋"
28265,"備","备"
28376,"傎","傎"
28382,"僆","僆"
28384,"傅","傅"
28431,"偨","偨"
28434,"翛","翛"
28442,"絛","绦"
28457,"傝","傝"
28459,"傂","傂"
28460,"傖","伧"
28485,"傜","傜"
28490,"傒","傒"
28499,"傑","杰"
28544,"傚","效"
28550,"傍","傍"
28639,"傢","家"
28994,"傮","傮"
28996,"傴","伛"
29009,"僄","僄"
29019,"傶","傶"
29020,"僂","偻"
29035,"僈","僈"
29037,"催","催"
29098,"傰","傰"
29099,"傷","伤"
29241,"傻","傻"
30240,"僽","僽"
30241,"儌","儌"
30248,"儉","俭"
31094,"儦","儦"
31096,"儠","儠"
31098,"儵","儵"
43429,"刡","刡"
43430,"刜","刜"
43432,"刱","刱"
43433,"刲","刲"
43441,"券","券"
43457,"刵","刵"
43458,"刺","刺"
38932,"冽","冽"
29497,"像","像"
29535,"傺","傺"
29536,"傭","佣"
29613,"僨","偾"
29633,"僖","僖"
29634,"僛","僛"
29638,"儆","儆"
29821,"僓","僓"
29823,"僤","僤"
29824,"僑","侨"
29865,"僬","僬"
29870,"僠","僠"
29872,"偽","伪"
29956,"僦","僦"
29987,"僮","僮"
30018,"僔","僔"
30021,"僧","僧"
30121,"僗","僗"
30122,"僱","雇"
30131,"僩","僩"
30136,"僝","僝"
30145,"僎","僎"
30147,"僪","僪"
30150,"儚","儚"
30152,"僸","僸"
30154,"僵","僵"
30187,"價","价"
30204,"鞗","鞗"
30206,"儅","当"
30207,"僶","僶"
30211,"儂","侬"
30217,"儇","儇"
30309,"儈","侩"
30316,"僾","僾"
