unicode,chars
"5046","偆"
"5047","假"
"5048","偈"
"5049","偉"
"504A","偊"
"504B","偋"
"504C","偌"
"504D","偍"
"504E","偎"
"504F","偏"
"5050","偐"
"5051","偑"
"5052","偒"
"5053","偓"
"5054","偔"
"5055","偕"
"5056","偖"
"5057","偗"
"5058","偘"
"5059","偙"
"505A","做"
"505B","偛"
"505C","停"
"505D","偝"
"505E","偞"
"505F","偟"
"5060","偠"
"5061","偡"
"5062","偢"
"5063","偣"
"5064","偤"
"5065","健"
"5066","偦"
"5067","偧"
"5068","偨"
"5069","偩"
"506A","偪"
"506B","偫"
"506C","偬"
"506D","偭"
"506E","偮"
"506F","偯"
"5070","偰"
"5071","偱"
"5072","偲"
"5073","偳"
"5074","側"
"5075","偵"
"5076","偶"
"5077","偷"
"5078","偸"
"5079","偹"
"507A","偺"
"507B","偻"
"507C","偼"
"507D","偽"
"507E","偾"
"507F","偿"
"5080","傀"
"5081","傁"
"5082","傂"
"5083","傃"
"5084","傄"
"5085","傅"
"5086","傆"
"5087","傇"
"5088","傈"
"5089","傉"
"508A","傊"
"508B","傋"
"508C","傌"
"508D","傍"
"508E","傎"
"508F","傏"
"5090","傐"
"5091","傑"
"5092","傒"
"5093","傓"
"5094","傔"
"5095","傕"
"5096","傖"
"5097","傗"
"5098","傘"
"5099","備"
"509A","傚"
"509B","傛"
"509C","傜"
"509D","傝"
"509E","傞"
"509F","傟"
"50A0","傠"
"50A1","傡"
"50A2","傢"
"50A3","傣"
"50A4","傤"
"50A5","傥"
"50A6","傦"
"50A7","傧"
"50A8","储"
"50A9","傩"
"50AA","傪"
"50AB","傫"
"50AC","催"
"50AD","傭"
"50AE","傮"
"50AF","傯"
"50B0","傰"
"50B1","傱"
"50B2","傲"
"50B3","傳"
"50B4","傴"
"50B5","債"
"50B6","傶"
"50B7","傷"
"50B8","傸"
"50B9","傹"
"50BA","傺"
"50BB","傻"
"50BC","傼"
"50BD","傽"
"50BE","傾"
"50BF","傿"
"50C0","僀"
"50C1","僁"
"50C2","僂"
"50C3","僃"
"50C4","僄"
"50C5","僅"
"50C6","僆"
"50C7","僇"
"50C8","僈"
"50C9","僉"
"50CA","僊"
"50CB","僋"
"50CC","僌"
"50CD","働"
"50CE","僎"
"50CF","像"
"50D0","僐"
"50D1","僑"
"50D2","僒"
"50D3","僓"
"50D4","僔"
"50D5","僕"
"50D6","僖"
"50D7","僗"
"50D8","僘"
"50D9","僙"
"50DA","僚"
"50DB","僛"
"50DC","僜"
"50DD","僝"
"50DE","僞"
"50DF","僟"
"50E0","僠"
"50E1","僡"
"50E2","僢"
"50E3","僣"
"50E4","僤"
"50E5","僥"
"50E6","僦"
"50E7","僧"
"50E8","僨"
"50E9","僩"
"50EA","僪"
"50EB","僫"
"50EC","僬"
"50ED","僭"
"50EE","僮"
"50EF","僯"
"50F0","僰"
"50F1","僱"
"50F2","僲"
"50F3","僳"
"50F4","僴"
"50F5","僵"
"50F6","僶"
"50F7","僷"
"50F8","僸"
"50F9","價"
"50FA","僺"
"50FB","僻"
"50FC","僼"
"50FD","僽"
"50FE","僾"
"50FF","僿"
"5100","儀"
"5101","儁"
"5102","儂"
"5103","儃"
"5104","億"
"5105","儅"
"5106","儆"
"5107","儇"
"534E","华"
"534F","协"
"5350","卐"
"5351","卑"
"5352","卒"
"5353","卓"
"5354","協"
"5355","单"
"5356","卖"
"5357","南"
"5358","単"
"5359","卙"
"535A","博"
"535B","卛"
"535C","卜"
"535D","卝"
"535E","卞"
"535F","卟"
"5360","占"
"5361","卡"
"5362","卢"
"5363","卣"
"5364","卤"
"5365","卥"
"5366","卦"
"5367","卧"
"5368","卨"
"5369","卩"
"536A","卪"
"536B","卫"
"536C","卬"
"536D","卭"
"536E","卮"
"536F","卯"
"5370","印"
"5371","危"
"5372","卲"
"5373","即"
"5374","却"
"5375","卵"
"5376","卶"
"5377","卷"
"5378","卸"
"5379","卹"
"537A","卺"
"537B","卻"
"537C","卼"
"537D","卽"
"537E","卾"
"537F","卿"
"5380","厀"
"5381","厁"
"5382","厂"
"5383","厃"
"5384","厄"
"5385","厅"
"5386","历"
"5387","厇"
"5388","厈"
"5389","厉"
"538A","厊"
"538B","压"
"538C","厌"
"538D","厍"
"538E","厎"
"538F","厏"
"5390","厐"
"5391","厑"
"5392","厒"
"5393","厓"
"5394","厔"
"5395","厕"
"5396","厖"
"5397","厗"
"5398","厘"
"5399","厙"
"539A","厚"
"539B","厛"
"539C","厜"
"539D","厝"
"539E","厞"
"539F","原"
"53A0","厠"
"53A1","厡"
"53A2","厢"
"53A3","厣"
"53A4","厤"
"53A5","厥"
"53A6","厦"
"53A7","厧"
"53A8","厨"
"53A9","厩"
"53AA","厪"
"53AB","厫"
"53AC","厬"
"53AD","厭"
"53AE","厮"
"53AF","厯"
"53B0","厰"
"53B1","厱"
"53B2","厲"
"53B3","厳"
"53B4","厴"
"53B5","厵"
"53B6","厶"
"53B7","厷"
"53B8","厸"
"53B9","厹"
"53BA","厺"
"53BB","去"
"53BC","厼"
"53BD","厽"
"53BE","厾"
"53BF","县"
"53C0","叀"
"53C1","叁"
"53C2","参"
"53C3","參"
"53C4","叄"
"53C5","叅"
"53C6","叆"
"53C7","叇"
"53C8","又"
"53C9","叉"
"53CA","及"
"53CB","友"
"53CC","双"
"53CD","反"
"53CE","収"
"53CF","叏"
"53D0","叐"
"53D1","发"
"53D2","叒"
"53D3","叓"
"53D4","叔"
"53D5","叕"
"53D6","取"
"53D7","受"
"53D8","变"
"53D9","叙"
"53DA","叚"
"53DB","叛"
"53DC","叜"
"53DD","叝"
"53DE","叞"
"53DF","叟"
"53E0","叠"
"53E1","叡"
"53E2","叢"
"53E3","口"
"53E4","古"
"53E5","句"
"53E6","另"
"53E7","叧"
"53E8","叨"
"53E9","叩"
"53EA","只"
"53EB","叫"
"53EC","召"
"53ED","叭"
"53EE","叮"
"53EF","可"
"53F0","台"
"53F1","叱"
"53F2","史"
"53F3","右"
"53F4","叴"
"53F5","叵"
"53F6","叶"
"53F7","号"
"53F8","司"
"53F9","叹"
"53FA","叺"
"53FB","叻"
"53FC","叼"
"53FD","叽"
"53FE","叾"
"53FF","叿"
"5400","吀"
"5401","吁"
"5402","吂"
"5403","吃"
"5404","各"
"5405","吅"
"5406","吆"
"5407","吇"
"5408","合"
"5409","吉"
"540A","吊"
"540B","吋"
"540C","同"
"540D","名"
"540E","后"
"540F","吏"
"528C","劌"
"528D","劍"
"528E","劎"
"528F","劏"
"5290","劐"
"5291","劑"
"5292","劒"
"5293","劓"
"5294","劔"
"5295","劕"
"5296","劖"
"5297","劗"
"5298","劘"
"5299","劙"
"529A","劚"
"529B","力"
"529C","劜"
"529D","劝"
"529E","办"
"529F","功"
"52A0","加"
"52A1","务"
"52A2","劢"
"52A3","劣"
"52A4","劤"
"52A5","劥"
"52A6","劦"
"52A7","劧"
"52A8","动"
"52A9","助"
"52AA","努"
"52AB","劫"
"52AC","劬"
"52AD","劭"
"52AE","劮"
"52AF","劯"
"52B0","劰"
"52B1","励"
"52B2","劲"
"52B3","劳"
"52B4","労"
"52B5","劵"
"52B6","劶"
"52B7","劷"
"52B8","劸"
"52B9","効"
"52BA","劺"
"52BB","劻"
"52BC","劼"
"52BD","劽"
"52BE","劾"
"52BF","势"
"52C0","勀"
"52C1","勁"
"52C2","勂"
"52C3","勃"
"52C4","勄"
"52C5","勅"
"52C6","勆"
"52C7","勇"
"52C8","勈"
"52C9","勉"
"52CA","勊"
"52CB","勋"
"52CC","勌"
"52CD","勍"
"52CE","勎"
"52CF","勏"
"52D0","勐"
"52D1","勑"
"52D2","勒"
"52D3","勓"
"52D4","勔"
"52D5","動"
"52D6","勖"
"52D7","勗"
"52D8","勘"
"52D9","務"
"52DA","勚"
"52DB","勛"
"52DC","勜"
"52DD","勝"
"52DE","勞"
"52DF","募"
"52E0","勠"
"52E1","勡"
"52E2","勢"
"52E3","勣"
"52E4","勤"
"52E5","勥"
"52E6","勦"
"52E7","勧"
"52E8","勨"
"52E9","勩"
"52EA","勪"
"52EB","勫"
"52EC","勬"
"52ED","勭"
"52EE","勮"
"52EF","勯"
"52F0","勰"
"52F1","勱"
"52F2","勲"
"52F3","勳"
"52F4","勴"
"52F5","勵"
"52F6","勶"
"52F7","勷"
"52F8","勸"
"52F9","勹"
"52FA","勺"
"52FB","勻"
"52FC","勼"
"52FD","勽"
"52FE","勾"
"52FF","勿"
"5300","匀"
"5301","匁"
"5302","匂"
"5303","匃"
"5304","匄"
"5305","包"
"5306","匆"
"5307","匇"
"5308","匈"
"5309","匉"
"530A","匊"
"530B","匋"
"530C","匌"
"530D","匍"
"530E","匎"
"530F","匏"
"5310","匐"
"5311","匑"
"5312","匒"
"5313","匓"
"5314","匔"
"5315","匕"
"5316","化"
"5317","北"
"5318","匘"
"5319","匙"
"531A","匚"
"531B","匛"
"531C","匜"
"531D","匝"
"531E","匞"
"531F","匟"
"5320","匠"
"5321","匡"
"5322","匢"
"5323","匣"
"5324","匤"
"5325","匥"
"5326","匦"
"5327","匧"
"5328","匨"
"5329","匩"
"532A","匪"
"532B","匫"
"532C","匬"
"532D","匭"
"532E","匮"
"532F","匯"
"5330","匰"
"5331","匱"
"5332","匲"
"5333","匳"
"5334","匴"
"5335","匵"
"5336","匶"
"5337","匷"
"5338","匸"
"5339","匹"
"533A","区"
"533B","医"
"533C","匼"
"533D","匽"
"533E","匾"
"533F","匿"
"5340","區"
"5341","十"
"5342","卂"
"5343","千"
"5344","卄"
"5345","卅"
"5346","卆"
"5347","升"
"5348","午"
"5349","卉"
"534A","半"
"534B","卋"
"534C","卌"
"534D","卍"
"4E00","一"
"4E01","丁"
"4E02","丂"
"4E03","七"
"4E04","丄"
"4E05","丅"
"4E06","丆"
"4E07","万"
"4E08","丈"
"4E09","三"
"4E0A","上"
"4E0B","下"
"4E0C","丌"
"4E0D","不"
"4E0E","与"
"4E0F","丏"
"4E10","丐"
"4E11","丑"
"4E12","丒"
"4E13","专"
"4E14","且"
"4E15","丕"
"4E16","世"
"4E17","丗"
"4E18","丘"
"4E19","丙"
"4E1A","业"
"4E1B","丛"
"4E1C","东"
"4E1D","丝"
"4E1E","丞"
"4E1F","丟"
"4E20","丠"
"4E21","両"
"4E22","丢"
"4E23","丣"
"4E24","两"
"4E25","严"
"4E26","並"
"4E27","丧"
"4E28","丨"
"4E29","丩"
"4E2A","个"
"4E2B","丫"
"4E2C","丬"
"4E2D","中"
"4E2E","丮"
"4E2F","丯"
"4E30","丰"
"4E31","丱"
"4E32","串"
"4E33","丳"
"4E34","临"
"4E35","丵"
"4E36","丶"
"4E37","丷"
"4E38","丸"
"4E39","丹"
"4E3A","为"
"4E3B","主"
"4E3C","丼"
"4E3D","丽"
"4E3E","举"
"4E3F","丿"
"4E40","乀"
"4E41","乁"
"4E42","乂"
"4E43","乃"
"4E44","乄"
"4E45","久"
"4E46","乆"
"4E47","乇"
"4E48","么"
"4E49","义"
"4E4A","乊"
"4E4B","之"
"4E4C","乌"
"4E4D","乍"
"4E4E","乎"
"4E4F","乏"
"4E50","乐"
"4E51","乑"
"4E52","乒"
"4E53","乓"
"4E54","乔"
"4E55","乕"
"4E56","乖"
"4E57","乗"
"4E58","乘"
"4E59","乙"
"4E5A","乚"
"4E5B","乛"
"4E5C","乜"
"4E5D","九"
"4E5E","乞"
"4E5F","也"
"4E60","习"
"4E61","乡"
"4E62","乢"
"4E63","乣"
"4E64","乤"
"4E65","乥"
"4E66","书"
"4E67","乧"
"4E68","乨"
"4E69","乩"
"4E6A","乪"
"4E6B","乫"
"4E6C","乬"
"4E6D","乭"
"4E6E","乮"
"4E6F","乯"
"4E70","买"
"4E71","乱"
"4E72","乲"
"4E73","乳"
"4E74","乴"
"4E75","乵"
"4E76","乶"
"4E77","乷"
"4E78","乸"
"4E79","乹"
"4E7A","乺"
"4E7B","乻"
"4E7C","乼"
"4E7D","乽"
"4E7E","乾"
"4E7F","乿"
"4E80","亀"
"4E81","亁"
"4E82","亂"
"4E83","亃"
"4E84","亄"
"4E85","亅"
"4E86","了"
"4E87","亇"
"4E88","予"
"4E89","争"
"4E8A","亊"
"4E8B","事"
"4E8C","二"
"4E8D","亍"
"4E8E","于"
"4E8F","亏"
"4E90","亐"
"4E91","云"
"4E92","互"
"4E93","亓"
"4E94","五"
"4E95","井"
"4E96","亖"
"4E97","亗"
"4E98","亘"
"4E99","亙"
"4E9A","亚"
"4E9B","些"
"4E9C","亜"
"4E9D","亝"
"4E9E","亞"
"4E9F","亟"
"4EA0","亠"
"4EA1","亡"
"4EA2","亢"
"4EA3","亣"
"4EA4","交"
"4EA5","亥"
"4EA6","亦"
"4EA7","产"
"4EA8","亨"
"4EA9","亩"
"4EAA","亪"
"4EAB","享"
"4EAC","京"
"4EAD","亭"
"4EAE","亮"
"4EAF","亯"
"4EB0","亰"
"4EB1","亱"
"4EB2","亲"
"4EB3","亳"
"4EB4","亴"
"4EB5","亵"
"4EB6","亶"
"4EB7","亷"
"4EB8","亸"
"4EB9","亹"
"4EBA","人"
"4EBB","亻"
"4EBC","亼"
"4EBD","亽"
"4EBE","亾"
"4EBF","亿"
"4EC0","什"
"4EC1","仁"
"5594","喔"
"5595","喕"
"5596","喖"
"5597","喗"
"5598","喘"
"5599","喙"
"559A","喚"
"559B","喛"
"559C","喜"
"559D","喝"
"559E","喞"
"559F","喟"
"55A0","喠"
"55A1","喡"
"55A2","喢"
"55A3","喣"
"55A4","喤"
"55A5","喥"
"55A6","喦"
"55A7","喧"
"55A8","喨"
"55A9","喩"
"55AA","喪"
"55AB","喫"
"55AC","喬"
"55AD","喭"
"55AE","單"
"55AF","喯"
"55B0","喰"
"55B1","喱"
"55B2","喲"
"55B3","喳"
"55B4","喴"
"55B5","喵"
"55B6","営"
"55B7","喷"
"55B8","喸"
"55B9","喹"
"55BA","喺"
"55BB","喻"
"55BC","喼"
"55BD","喽"
"55BE","喾"
"55BF","喿"
"55C0","嗀"
"55C1","嗁"
"55C2","嗂"
"55C3","嗃"
"55C4","嗄"
"55C5","嗅"
"55C6","嗆"
"55C7","嗇"
"55C8","嗈"
"55C9","嗉"
"55CA","嗊"
"55CB","嗋"
"55CC","嗌"
"55CD","嗍"
"55CE","嗎"
"55CF","嗏"
"55D0","嗐"
"55D1","嗑"
"55D2","嗒"
"55D3","嗓"
"55D4","嗔"
"55D5","嗕"
"55D6","嗖"
"55D7","嗗"
"55D8","嗘"
"55D9","嗙"
"55DA","嗚"
"55DB","嗛"
"55DC","嗜"
"55DD","嗝"
"55DE","嗞"
"55DF","嗟"
"55E0","嗠"
"55E1","嗡"
"55E2","嗢"
"55E3","嗣"
"55E4","嗤"
"55E5","嗥"
"55E6","嗦"
"55E7","嗧"
"55E8","嗨"
"55E9","嗩"
"55EA","嗪"
"55EB","嗫"
"55EC","嗬"
"55ED","嗭"
"55EE","嗮"
"55EF","嗯"
"55F0","嗰"
"55F1","嗱"
"55F2","嗲"
"55F3","嗳"
"55F4","嗴"
"55F5","嗵"
"55F6","嗶"
"55F7","嗷"
"55F8","嗸"
"55F9","嗹"
"55FA","嗺"
"55FB","嗻"
"55FC","嗼"
"55FD","嗽"
"55FE","嗾"
"55FF","嗿"
"5600","嘀"
"5601","嘁"
"5602","嘂"
"5603","嘃"
"5604","嘄"
"5605","嘅"
"5606","嘆"
"5607","嘇"
"5608","嘈"
"5609","嘉"
"560A","嘊"
"560B","嘋"
"560C","嘌"
"560D","嘍"
"560E","嘎"
"560F","嘏"
"5610","嘐"
"5611","嘑"
"5612","嘒"
"5613","嘓"
"5614","嘔"
"5615","嘕"
"5616","嘖"
"5617","嘗"
"5618","嘘"
"5619","嘙"
"561A","嘚"
"561B","嘛"
"561C","嘜"
"561D","嘝"
"561E","嘞"
"561F","嘟"
"5620","嘠"
"5621","嘡"
"5622","嘢"
"5623","嘣"
"5624","嘤"
"5625","嘥"
"5626","嘦"
"5627","嘧"
"5628","嘨"
"5629","嘩"
"562A","嘪"
"562B","嘫"
"562C","嘬"
"562D","嘭"
"562E","嘮"
"562F","嘯"
"5630","嘰"
"5631","嘱"
"5632","嘲"
"5633","嘳"
"5634","嘴"
"5635","嘵"
"5636","嘶"
"5637","嘷"
"5638","嘸"
"5639","嘹"
"563A","嘺"
"563B","嘻"
"563C","嘼"
"563D","嘽"
"563E","嘾"
"563F","嘿"
"5640","噀"
"5641","噁"
"5642","噂"
"5643","噃"
"5644","噄"
"5645","噅"
"5646","噆"
"5647","噇"
"5648","噈"
"5649","噉"
"564A","噊"
"564B","噋"
"564C","噌"
"564D","噍"
"564E","噎"
"564F","噏"
"5650","噐"
"5651","噑"
"5652","噒"
"5653","噓"
"5654","噔"
"5655","噕"
"5656","噖"
"5657","噗"
"5658","噘"
"5659","噙"
"565A","噚"
"565B","噛"
"565C","噜"
"565D","噝"
"565E","噞"
"565F","噟"
"5660","噠"
"5661","噡"
"5662","噢"
"5663","噣"
"5664","噤"
"5665","噥"
"5666","噦"
"5667","噧"
"5668","器"
"5669","噩"
"566A","噪"
"566B","噫"
"566C","噬"
"566D","噭"
"566E","噮"
"566F","噯"
"5670","噰"
"5671","噱"
"5672","噲"
"5673","噳"
"5674","噴"
"5675","噵"
"5676","噶"
"5677","噷"
"5678","噸"
"5679","噹"
"567A","噺"
"567B","噻"
"567C","噼"
"567D","噽"
"567E","噾"
"567F","噿"
"5680","嚀"
"5681","嚁"
"5682","嚂"
"5683","嚃"
"5684","嚄"
"5685","嚅"
"5686","嚆"
"5687","嚇"
"5688","嚈"
"5689","嚉"
"568A","嚊"
"568B","嚋"
"568C","嚌"
"568D","嚍"
"568E","嚎"
"568F","嚏"
"5690","嚐"
"5691","嚑"
"5692","嚒"
"5693","嚓"
"5694","嚔"
"5695","嚕"
"5696","嚖"
"5697","嚗"
"5698","嚘"
"5699","嚙"
"569A","嚚"
"569B","嚛"
"569C","嚜"
"569D","嚝"
"569E","嚞"
"569F","嚟"
"56A0","嚠"
"56A1","嚡"
"56A2","嚢"
"56A3","嚣"
"56A4","嚤"
"56A5","嚥"
"56A6","嚦"
"56A7","嚧"
"56A8","嚨"
"56A9","嚩"
"56AA","嚪"
"56AB","嚫"
"56AC","嚬"
"56AD","嚭"
"56AE","嚮"
"56AF","嚯"
"56B0","嚰"
"56B1","嚱"
"56B2","嚲"
"56B3","嚳"
"56B4","嚴"
"56B5","嚵"
"56B6","嚶"
"56B7","嚷"
"56B8","嚸"
"56B9","嚹"
"56BA","嚺"
"56BB","嚻"
"56BC","嚼"
"56BD","嚽"
"56BE","嚾"
"56BF","嚿"
"56C0","囀"
"56C1","囁"
"56C2","囂"
"56C3","囃"
"56C4","囄"
"56C5","囅"
"56C6","囆"
"56C7","囇"
"56C8","囈"
"56C9","囉"
"56CA","囊"
"56CB","囋"
"56CC","囌"
"56CD","囍"
"56CE","囎"
"56CF","囏"
"56D0","囐"
"56D1","囑"
"56D2","囒"
"56D3","囓"
"56D4","囔"
"56D5","囕"
"56D6","囖"
"56D7","囗"
"56D8","囘"
"56D9","囙"
"56DA","囚"
"56DB","四"
"56DC","囜"
"56DD","囝"
"56DE","回"
"56DF","囟"
"56E0","因"
"56E1","囡"
"56E2","团"
"56E3","団"
"56E4","囤"
"56E5","囥"
"56E6","囦"
"56E7","囧"
"56E8","囨"
"56E9","囩"
"56EA","囪"
"56EB","囫"
"56EC","囬"
"56ED","园"
"56EE","囮"
"56EF","囯"
"56F0","困"
"56F1","囱"
"56F2","囲"
"56F3","図"
"56F4","围"
"56F5","囵"
"56F6","囶"
"56F7","囷"
"56F8","囸"
"56F9","囹"
"56FA","固"
"56FB","囻"
"56FC","囼"
"56FD","国"
"56FE","图"
"56FF","囿"
"5700","圀"
"5701","圁"
"5702","圂"
"5703","圃"
"5704","圄"
"5705","圅"
"5706","圆"
"5707","圇"
"5708","圈"
"5709","圉"
"570A","圊"
"570B","國"
"570C","圌"
"570D","圍"
"570E","圎"
"570F","圏"
"5710","圐"
"5711","圑"
"5712","園"
"5713","圓"
"5714","圔"
"5715","圕"
"5716","圖"
"5717","圗"
"5108","儈"
"5109","儉"
"510A","儊"
"510B","儋"
"510C","儌"
"510D","儍"
"510E","儎"
"510F","儏"
"5110","儐"
"5111","儑"
"5112","儒"
"5113","儓"
"5114","儔"
"5115","儕"
"5116","儖"
"5117","儗"
"5118","儘"
"5119","儙"
"511A","儚"
"511B","儛"
"511C","儜"
"511D","儝"
"511E","儞"
"511F","償"
"5120","儠"
"5121","儡"
"5122","儢"
"5123","儣"
"5124","儤"
"5125","儥"
"5126","儦"
"5127","儧"
"5128","儨"
"5129","儩"
"512A","優"
"512B","儫"
"512C","儬"
"512D","儭"
"512E","儮"
"512F","儯"
"5130","儰"
"5131","儱"
"5132","儲"
"5133","儳"
"5134","儴"
"5135","儵"
"5136","儶"
"5137","儷"
"5138","儸"
"5139","儹"
"513A","儺"
"513B","儻"
"513C","儼"
"513D","儽"
"513E","儾"
"513F","儿"
"5140","兀"
"5141","允"
"5142","兂"
"5143","元"
"5144","兄"
"5145","充"
"5146","兆"
"5147","兇"
"5148","先"
"5149","光"
"514A","兊"
"514B","克"
"514C","兌"
"514D","免"
"514E","兎"
"514F","兏"
"5150","児"
"5151","兑"
"5152","兒"
"5153","兓"
"5154","兔"
"5155","兕"
"5156","兖"
"5157","兗"
"5158","兘"
"5159","兙"
"515A","党"
"515B","兛"
"515C","兜"
"515D","兝"
"515E","兞"
"515F","兟"
"5160","兠"
"5161","兡"
"5162","兢"
"5163","兣"
"5164","兤"
"5165","入"
"5166","兦"
"5167","內"
"5168","全"
"5169","兩"
"516A","兪"
"516B","八"
"516C","公"
"516D","六"
"516E","兮"
"516F","兯"
"5170","兰"
"5171","共"
"5172","兲"
"5173","关"
"5174","兴"
"5175","兵"
"5176","其"
"5177","具"
"5178","典"
"5179","兹"
"517A","兺"
"517B","养"
"517C","兼"
"517D","兽"
"517E","兾"
"517F","兿"
"5180","冀"
"5181","冁"
"5182","冂"
"5183","冃"
"5184","冄"
"5185","内"
"5186","円"
"5187","冇"
"5188","冈"
"5189","冉"
"518A","冊"
"518B","冋"
"518C","册"
"518D","再"
"518E","冎"
"518F","冏"
"5190","冐"
"5191","冑"
"5192","冒"
"5193","冓"
"5194","冔"
"5195","冕"
"5196","冖"
"5197","冗"
"5198","冘"
"5199","写"
"519A","冚"
"519B","军"
"519C","农"
"519D","冝"
"519E","冞"
"519F","冟"
"51A0","冠"
"51A1","冡"
"51A2","冢"
"51A3","冣"
"51A4","冤"
"51A5","冥"
"51A6","冦"
"51A7","冧"
"51A8","冨"
"51A9","冩"
"51AA","冪"
"51AB","冫"
"51AC","冬"
"51AD","冭"
"51AE","冮"
"51AF","冯"
"51B0","冰"
"51B1","冱"
"51B2","冲"
"51B3","决"
"51B4","冴"
"51B5","况"
"51B6","冶"
"51B7","冷"
"51B8","冸"
"51B9","冹"
"51BA","冺"
"51BB","冻"
"51BC","冼"
"51BD","冽"
"51BE","冾"
"51BF","冿"
"51C0","净"
"51C1","凁"
"51C2","凂"
"51C3","凃"
"51C4","凄"
"51C5","凅"
"51C6","准"
"51C7","凇"
"51C8","凈"
"51C9","凉"
"51CA","凊"
"51CB","凋"
"51CC","凌"
"51CD","凍"
"51CE","凎"
"51CF","减"
"51D0","凐"
"51D1","凑"
"51D2","凒"
"51D3","凓"
"51D4","凔"
"51D5","凕"
"51D6","凖"
"51D7","凗"
"51D8","凘"
"51D9","凙"
"51DA","凚"
"51DB","凛"
"51DC","凜"
"51DD","凝"
"51DE","凞"
"51DF","凟"
"51E0","几"
"51E1","凡"
"51E2","凢"
"51E3","凣"
"51E4","凤"
"51E5","凥"
"51E6","処"
"51E7","凧"
"51E8","凨"
"51E9","凩"
"51EA","凪"
"51EB","凫"
"51EC","凬"
"51ED","凭"
"51EE","凮"
"51EF","凯"
"51F0","凰"
"51F1","凱"
"51F2","凲"
"51F3","凳"
"51F4","凴"
"51F5","凵"
"51F6","凶"
"51F7","凷"
"51F8","凸"
"51F9","凹"
"51FA","出"
"51FB","击"
"51FC","凼"
"51FD","函"
"51FE","凾"
"51FF","凿"
"5200","刀"
"5201","刁"
"5202","刂"
"5203","刃"
"5204","刄"
"5205","刅"
"5206","分"
"5207","切"
"5208","刈"
"5209","刉"
"520A","刊"
"520B","刋"
"520C","刌"
"520D","刍"
"520E","刎"
"520F","刏"
"5210","刐"
"5211","刑"
"5212","划"
"5213","刓"
"5214","刔"
"5215","刕"
"5216","刖"
"5217","列"
"5218","刘"
"5219","则"
"521A","刚"
"521B","创"
"521C","刜"
"521D","初"
"521E","刞"
"521F","刟"
"5220","删"
"5221","刡"
"5222","刢"
"5223","刣"
"5224","判"
"5225","別"
"5226","刦"
"5227","刧"
"5228","刨"
"5229","利"
"522A","刪"
"522B","别"
"522C","刬"
"522D","刭"
"522E","刮"
"522F","刯"
"5230","到"
"5231","刱"
"5232","刲"
"5233","刳"
"5234","刴"
"5235","刵"
"5236","制"
"5237","刷"
"5238","券"
"5239","刹"
"523A","刺"
"523B","刻"
"523C","刼"
"523D","刽"
"523E","刾"
"523F","刿"
"5240","剀"
"5241","剁"
"5242","剂"
"5243","剃"
"5244","剄"
"5245","剅"
"5246","剆"
"5247","則"
"5248","剈"
"5249","剉"
"524A","削"
"524B","剋"
"524C","剌"
"524D","前"
"524E","剎"
"524F","剏"
"5250","剐"
"5251","剑"
"5252","剒"
"5253","剓"
"5254","剔"
"5255","剕"
"5256","剖"
"5257","剗"
"5258","剘"
"5259","剙"
